instance_id,family,split,representation,random_rep_seed,design_id,n_original,n_aux,retained_cubic,active_pair_count,penalty_setting,target_pair,x_assignments_checked,xy_assignments_checked,max_pointwise_error,mismatch_count,tie_count,inconsistent_minimiser_count,witness_id,constructible,constructibility_reason,status,config_hash,manifest_hash,code_commit
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,nontrivial_selective_supplement,,design_1bbaca4e7cec8b9d,,1,5,,above_threshold,,64,128,0.0,0,0,0,,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,nontrivial_selective_supplement,,design_1bbaca4e7cec8b9d,,1,5,,below_threshold,"[1, 2]",64,128,1.0,8,0,8,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e_nontrivial_selective_supplement_below_threshold_1_2_selected,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,nontrivial_selective_supplement,,design_1bbaca4e7cec8b9d,,1,5,,at_threshold,"[1, 2]",64,128,0.0,0,8,8,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e_nontrivial_selective_supplement_at_threshold_1_2_selected,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_59d3a6112d0fa9c9,,1,5,,above_threshold,,64,128,0.0,0,0,0,,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_59d3a6112d0fa9c9,,1,5,,below_threshold,"[2, 6]",64,128,1.0,16,0,16,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e_matched_random_nontrivial_selective_below_threshold_2_6_2026082711,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_59d3a6112d0fa9c9,,1,5,,at_threshold,"[2, 6]",64,128,0.0,0,16,16,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e_matched_random_nontrivial_selective_at_threshold_2_6_2026082711,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_df74a71cc3606458,,1,5,,above_threshold,,64,128,0.0,0,0,0,,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_df74a71cc3606458,,1,5,,below_threshold,"[1, 6]",64,128,1.0,16,0,16,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e_matched_random_nontrivial_selective_below_threshold_1_6_2026082712,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_df74a71cc3606458,,1,5,,at_threshold,"[1, 6]",64,128,0.0,0,16,16,inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e_matched_random_nontrivial_selective_at_threshold_1_6_2026082712,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,train,matched_random_nontrivial_selective,,design_c2e7a5f21d95dcdd,,1,5,,above_threshold,,64,128,0.0,0,0,0,,True,deterministic_first_single_reduction,pass,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,d14b3cbcd9f75404ece9960bc60b76cb47ca7bd457019c8fd7fed8c0dafd9ee3,e3b6d0cb9f3dc2e46f831caf5ce716f12b7a883a
