path,size_bytes,sha256
URSS_Independent_Acceptance_20260921.md,10484,34575d358334c0f43339b2373b4775bb4f8aff68444b8aba17c5b29aa0ca6174
REVIEW_COMMANDS.md,2093,32e92c5951f905d4cab6547200c56aabe503a7c78e238a07ec72a98a28c86b15
acceptance_checks.py,9948,051444f4bd2027edb329be88658f34f977c47bbf8e1e3603b2aca6f76931a8cb
acceptance_checks.json,10201,aef63f3d5c72763bef03dcf98530306de1a5dcb38187645e3d7cf369a56903c7
acceptance_checks.log,185,bab97933ee2450a38993aa0a889314c9c5f06e5bc76df5d3a34a4357e593681b
input_identity.json,443,272c3dce2656c484c8401732f82ae858e31620ddfb948a74ebcce925074b0701
package_integrity.json,315,0f0a4bf9255f0e20207e46a86225f3682e00ab36934d89d3221741f005fb29a7
assembly.log,113,d096dd9eb6505bc722e23d6b6cbaa8ad17db5c7ad89c49760d3328760b95ce30
p1_independent.json,4052,3f5df1bc2a50388108174750d55bc1730f00efaa6c04bc0d19d7f97aa56e20b8
p1_independent.csv,2285,2bae5bc69c312b2e2a288ef7dc308c244fd5ef4c55523dbe6fd96cbf9190e31a
p1_independent.log,3986,2ff7b0ec1db1cba61bedc22a22ce83776c66bf8fbdcf1b136b82ac7b1f1a492a
numerical_verification.json,741,30cadabf4c5c30d0cf69cd07177cbc2aded671516a7ca8f5206879d759ec9015
numerical_verification.log,741,30cadabf4c5c30d0cf69cd07177cbc2aded671516a7ca8f5206879d759ec9015
repository_tests.log,50141,185bc5f3a3e4d3ae706f5a0e5ba24e5e90b21d5e64460a98d43ca415f65bd61a
golden_independent.log,476,65d13b011b5faa5952f3869ef4446d604a2e6e448cb2f9b9a4c0dd7840b9f4e7
source_continuity.json,532,84f43b54e0194995e65bed3a53c800cb77520d7f4f4273b61edd8e1c7c3926fd
