family,instance_id,restricted,topology,synthesis,baseline_true_cells,common_true_cells,lost_in_any_other_seed,lost_in_all_other_seeds,new_true_cells,baseline_unknown_under_other_seeds,retention,classification
max3sat,max3sat_000,True,grid12,canonical,654,36,618,0,1854,0,0.05504587155963303,partial
max3sat,max3sat_000,True,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_000,True,line12,canonical,0,0,0,0,1098,0,N/A,empty_baseline
max3sat,max3sat_000,True,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_000,True,ring12,canonical,0,0,0,0,1434,0,N/A,empty_baseline
max3sat,max3sat_000,True,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_001,False,grid12,canonical,758,282,476,0,1605,0,0.3720316622691293,partial
max3sat,max3sat_001,False,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_001,False,line12,canonical,165,110,55,0,0,0,0.6666666666666666,partial
max3sat,max3sat_001,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_001,False,ring12,canonical,165,110,55,0,186,0,0.6666666666666666,partial
max3sat,max3sat_001,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_002,False,grid12,canonical,276,40,236,0,705,0,0.14492753623188406,partial
max3sat,max3sat_002,False,grid12,reuse,216,0,216,0,0,0,0.0,disappeared
max3sat,max3sat_002,False,line12,canonical,0,0,0,0,1465,0,N/A,empty_baseline
max3sat,max3sat_002,False,line12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_002,False,ring12,canonical,0,0,0,0,540,0,N/A,empty_baseline
max3sat,max3sat_002,False,ring12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_003,True,grid12,canonical,1866,1785,81,0,672,0,0.9565916398713826,partial
max3sat,max3sat_003,True,grid12,reuse,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_003,True,line12,canonical,574,570,4,0,32,0,0.9930313588850174,partial
max3sat,max3sat_003,True,line12,reuse,360,360,0,0,0,0,1.0,stable
max3sat,max3sat_003,True,ring12,canonical,718,570,148,144,32,0,0.7938718662952646,partial
max3sat,max3sat_003,True,ring12,reuse,340,340,0,0,0,0,1.0,stable
max3sat,max3sat_004,True,grid12,canonical,1764,1764,0,0,540,0,1.0,stable
max3sat,max3sat_004,True,grid12,reuse,2088,180,1908,0,108,0,0.08620689655172414,partial
max3sat,max3sat_004,True,line12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_004,True,line12,reuse,1372,1368,4,0,70,0,0.9970845481049563,partial
max3sat,max3sat_004,True,ring12,canonical,0,0,0,0,0,0,N/A,empty_baseline
max3sat,max3sat_004,True,ring12,reuse,2077,2070,7,0,0,0,0.9966297544535387,partial
max3sat,max3sat_005,False,grid12,canonical,0,0,0,0,0,0,N/A,empty_baseline
