family,instance_id,topology,synthesis,seed,frontier_count,baseline_frontier_count,jaccard_vs_1729,complete
max3sat,max3sat_000,grid12,canonical,1729,4,4,1.0,True
max3sat,max3sat_000,grid12,canonical,2718,7,4,0.5714285714285714,True
max3sat,max3sat_000,grid12,canonical,31415,4,4,0.3333333333333333,True
max3sat,max3sat_000,grid12,canonical,57721,6,4,0.25,True
max3sat,max3sat_000,grid12,canonical,65537,4,4,0.3333333333333333,True
max3sat,max3sat_000,grid12,reuse,1729,1,1,1.0,True
max3sat,max3sat_000,grid12,reuse,2718,1,1,1.0,True
max3sat,max3sat_000,grid12,reuse,31415,2,1,0.5,True
max3sat,max3sat_000,grid12,reuse,57721,1,1,1.0,True
max3sat,max3sat_000,grid12,reuse,65537,2,1,0.5,True
max3sat,max3sat_000,line12,canonical,1729,2,2,1.0,True
max3sat,max3sat_000,line12,canonical,2718,1,2,0.5,True
max3sat,max3sat_000,line12,canonical,31415,3,2,0.6666666666666666,True
max3sat,max3sat_000,line12,canonical,57721,4,2,0.5,True
max3sat,max3sat_000,line12,canonical,65537,4,2,0.5,True
max3sat,max3sat_000,line12,reuse,1729,1,1,1.0,True
max3sat,max3sat_000,line12,reuse,2718,2,1,0.5,True
max3sat,max3sat_000,line12,reuse,31415,2,1,0.5,True
max3sat,max3sat_000,line12,reuse,57721,2,1,0.5,True
max3sat,max3sat_000,line12,reuse,65537,2,1,0.5,True
max3sat,max3sat_000,ring12,canonical,1729,6,6,1.0,True
max3sat,max3sat_000,ring12,canonical,2718,4,6,0.25,True
max3sat,max3sat_000,ring12,canonical,31415,7,6,0.3,True
max3sat,max3sat_000,ring12,canonical,57721,8,6,0.4,True
max3sat,max3sat_000,ring12,canonical,65537,4,6,0.42857142857142855,True
max3sat,max3sat_000,ring12,reuse,1729,1,1,1.0,True
max3sat,max3sat_000,ring12,reuse,2718,2,1,0.5,True
max3sat,max3sat_000,ring12,reuse,31415,2,1,0.5,True
max3sat,max3sat_000,ring12,reuse,57721,2,1,0.5,True
max3sat,max3sat_000,ring12,reuse,65537,2,1,0.5,True
max3sat,max3sat_001,grid12,canonical,1729,6,6,1.0,True
max3sat,max3sat_001,grid12,canonical,2718,6,6,0.3333333333333333,True
max3sat,max3sat_001,grid12,canonical,31415,5,6,0.5714285714285714,True
max3sat,max3sat_001,grid12,canonical,57721,7,6,0.3,True
max3sat,max3sat_001,grid12,canonical,65537,5,6,0.2222222222222222,True
max3sat,max3sat_001,grid12,reuse,1729,2,2,1.0,True
max3sat,max3sat_001,grid12,reuse,2718,4,2,0.5,True
max3sat,max3sat_001,grid12,reuse,31415,3,2,0.6666666666666666,True
max3sat,max3sat_001,grid12,reuse,57721,5,2,0.4,True
max3sat,max3sat_001,grid12,reuse,65537,2,2,1.0,True
max3sat,max3sat_001,line12,canonical,1729,5,5,1.0,True
max3sat,max3sat_001,line12,canonical,2718,5,5,0.6666666666666666,True
max3sat,max3sat_001,line12,canonical,31415,7,5,0.3333333333333333,True
max3sat,max3sat_001,line12,canonical,57721,8,5,0.625,True
max3sat,max3sat_001,line12,canonical,65537,5,5,0.6666666666666666,True
max3sat,max3sat_001,line12,reuse,1729,1,1,1.0,True
max3sat,max3sat_001,line12,reuse,2718,1,1,1.0,True
max3sat,max3sat_001,line12,reuse,31415,1,1,1.0,True
max3sat,max3sat_001,line12,reuse,57721,1,1,1.0,True
max3sat,max3sat_001,line12,reuse,65537,1,1,1.0,True
max3sat,max3sat_001,ring12,canonical,1729,4,4,1.0,True
max3sat,max3sat_001,ring12,canonical,2718,3,4,0.75,True
max3sat,max3sat_001,ring12,canonical,31415,4,4,0.6,True
max3sat,max3sat_001,ring12,canonical,57721,6,4,0.6666666666666666,True
max3sat,max3sat_001,ring12,canonical,65537,5,4,0.8,True
max3sat,max3sat_001,ring12,reuse,1729,1,1,1.0,True
max3sat,max3sat_001,ring12,reuse,2718,1,1,1.0,True
max3sat,max3sat_001,ring12,reuse,31415,1,1,1.0,True
max3sat,max3sat_001,ring12,reuse,57721,1,1,1.0,True
max3sat,max3sat_001,ring12,reuse,65537,1,1,1.0,True
max3sat,max3sat_002,grid12,canonical,1729,6,6,1.0,True
max3sat,max3sat_002,grid12,canonical,2718,5,6,0.5714285714285714,True
max3sat,max3sat_002,grid12,canonical,31415,6,6,0.7142857142857143,True
max3sat,max3sat_002,grid12,canonical,57721,7,6,0.625,True
max3sat,max3sat_002,grid12,canonical,65537,4,6,0.6666666666666666,True
max3sat,max3sat_002,grid12,reuse,1729,4,4,1.0,True
max3sat,max3sat_002,grid12,reuse,2718,4,4,0.6,True
max3sat,max3sat_002,grid12,reuse,31415,4,4,1.0,True
max3sat,max3sat_002,grid12,reuse,57721,4,4,1.0,True
max3sat,max3sat_002,grid12,reuse,65537,4,4,1.0,True
max3sat,max3sat_002,line12,canonical,1729,1,1,1.0,True
max3sat,max3sat_002,line12,canonical,2718,1,1,1.0,True
