family,instance_id,topology,synthesis,true_cells,false_cells,unknown_cells,any_true,seed_union_interpretation
max3sat,max3sat_000,grid12,canonical,366,20557,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_000,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_000,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_000,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_000,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_000,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_001,grid12,canonical,462,20461,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_001,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_001,line12,canonical,165,20758,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_001,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_001,ring12,canonical,196,20727,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_001,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_002,grid12,canonical,76,20847,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_002,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_002,line12,canonical,925,19998,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_002,line12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_002,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_002,ring12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_003,grid12,canonical,1866,19057,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_003,grid12,reuse,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_003,line12,canonical,582,20341,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_003,line12,reuse,360,20563,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_003,ring12,canonical,582,20341,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_003,ring12,reuse,340,20583,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_004,grid12,canonical,1764,19159,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_004,grid12,reuse,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_004,line12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_004,line12,reuse,1368,19555,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_004,ring12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_004,ring12,reuse,2070,18853,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_005,grid12,canonical,0,20923,0,False,union_of_complete_actual_circuit_vectors; no componentwise minima
max3sat,max3sat_005,grid12,reuse,216,20707,0,True,union_of_complete_actual_circuit_vectors; no componentwise minima
