family,family_label,instance_id,restricted,topology,synthesis,seed,true_cells,false_cells,unknown_cells,true_present
max3sat,max3sat,max3sat_000,True,grid12,canonical,1729,654,20269,0,True
max3sat,max3sat,max3sat_000,True,grid12,canonical,2718,2508,18415,0,True
max3sat,max3sat,max3sat_000,True,grid12,canonical,31415,1188,19735,0,True
max3sat,max3sat,max3sat_000,True,grid12,canonical,57721,2448,18475,0,True
max3sat,max3sat,max3sat_000,True,grid12,canonical,65537,1656,19267,0,True
max3sat,max3sat,max3sat_000,True,grid12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_000,True,grid12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_000,True,grid12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_000,True,grid12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_000,True,grid12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,canonical,1729,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,canonical,2718,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,canonical,31415,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,canonical,57721,738,20185,0,True
max3sat,max3sat,max3sat_000,True,line12,canonical,65537,1098,19825,0,True
max3sat,max3sat,max3sat_000,True,line12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_000,True,line12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,canonical,1729,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,canonical,2718,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,canonical,31415,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,canonical,57721,1068,19855,0,True
max3sat,max3sat,max3sat_000,True,ring12,canonical,65537,1434,19489,0,True
max3sat,max3sat,max3sat_000,True,ring12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_000,True,ring12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_001,False,grid12,canonical,1729,758,20165,0,True
max3sat,max3sat,max3sat_001,False,grid12,canonical,2718,800,20123,0,True
max3sat,max3sat,max3sat_001,False,grid12,canonical,31415,462,20461,0,True
max3sat,max3sat,max3sat_001,False,grid12,canonical,57721,788,20135,0,True
max3sat,max3sat,max3sat_001,False,grid12,canonical,65537,1938,18985,0,True
max3sat,max3sat,max3sat_001,False,grid12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_001,False,grid12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_001,False,grid12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_001,False,grid12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_001,False,grid12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_001,False,line12,canonical,1729,165,20758,0,True
max3sat,max3sat,max3sat_001,False,line12,canonical,2718,165,20758,0,True
max3sat,max3sat,max3sat_001,False,line12,canonical,31415,110,20813,0,True
max3sat,max3sat,max3sat_001,False,line12,canonical,57721,165,20758,0,True
max3sat,max3sat,max3sat_001,False,line12,canonical,65537,165,20758,0,True
max3sat,max3sat,max3sat_001,False,line12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_001,False,line12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_001,False,line12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_001,False,line12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_001,False,line12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_001,False,ring12,canonical,1729,165,20758,0,True
max3sat,max3sat,max3sat_001,False,ring12,canonical,2718,165,20758,0,True
max3sat,max3sat,max3sat_001,False,ring12,canonical,31415,110,20813,0,True
max3sat,max3sat,max3sat_001,False,ring12,canonical,57721,165,20758,0,True
max3sat,max3sat,max3sat_001,False,ring12,canonical,65537,351,20572,0,True
max3sat,max3sat,max3sat_001,False,ring12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_001,False,ring12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_001,False,ring12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_001,False,ring12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_001,False,ring12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_002,False,grid12,canonical,1729,276,20647,0,True
max3sat,max3sat,max3sat_002,False,grid12,canonical,2718,705,20218,0,True
max3sat,max3sat,max3sat_002,False,grid12,canonical,31415,126,20797,0,True
max3sat,max3sat,max3sat_002,False,grid12,canonical,57721,736,20187,0,True
max3sat,max3sat,max3sat_002,False,grid12,canonical,65537,366,20557,0,True
max3sat,max3sat,max3sat_002,False,grid12,reuse,1729,216,20707,0,True
max3sat,max3sat,max3sat_002,False,grid12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_002,False,grid12,reuse,31415,216,20707,0,True
max3sat,max3sat,max3sat_002,False,grid12,reuse,57721,216,20707,0,True
max3sat,max3sat,max3sat_002,False,grid12,reuse,65537,216,20707,0,True
max3sat,max3sat,max3sat_002,False,line12,canonical,1729,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,canonical,2718,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,canonical,31415,540,20383,0,True
max3sat,max3sat,max3sat_002,False,line12,canonical,57721,925,19998,0,True
max3sat,max3sat,max3sat_002,False,line12,canonical,65537,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_002,False,line12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,canonical,1729,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,canonical,2718,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,canonical,31415,540,20383,0,True
max3sat,max3sat,max3sat_002,False,ring12,canonical,57721,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,canonical,65537,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_002,False,ring12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_003,True,grid12,canonical,1729,1866,19057,0,True
max3sat,max3sat,max3sat_003,True,grid12,canonical,2718,1995,18928,0,True
max3sat,max3sat,max3sat_003,True,grid12,canonical,31415,1836,19087,0,True
max3sat,max3sat,max3sat_003,True,grid12,canonical,57721,2538,18385,0,True
max3sat,max3sat,max3sat_003,True,grid12,canonical,65537,1866,19057,0,True
max3sat,max3sat,max3sat_003,True,grid12,reuse,1729,0,20923,0,False
max3sat,max3sat,max3sat_003,True,grid12,reuse,2718,0,20923,0,False
max3sat,max3sat,max3sat_003,True,grid12,reuse,31415,0,20923,0,False
max3sat,max3sat,max3sat_003,True,grid12,reuse,57721,0,20923,0,False
max3sat,max3sat,max3sat_003,True,grid12,reuse,65537,0,20923,0,False
max3sat,max3sat,max3sat_003,True,line12,canonical,1729,574,20349,0,True
max3sat,max3sat,max3sat_003,True,line12,canonical,2718,600,20323,0,True
max3sat,max3sat,max3sat_003,True,line12,canonical,31415,576,20347,0,True
max3sat,max3sat,max3sat_003,True,line12,canonical,57721,582,20341,0,True
max3sat,max3sat,max3sat_003,True,line12,canonical,65537,576,20347,0,True
max3sat,max3sat,max3sat_003,True,line12,reuse,1729,360,20563,0,True
max3sat,max3sat,max3sat_003,True,line12,reuse,2718,360,20563,0,True
max3sat,max3sat,max3sat_003,True,line12,reuse,31415,360,20563,0,True
max3sat,max3sat,max3sat_003,True,line12,reuse,57721,360,20563,0,True
max3sat,max3sat,max3sat_003,True,line12,reuse,65537,360,20563,0,True
max3sat,max3sat,max3sat_003,True,ring12,canonical,1729,718,20205,0,True
max3sat,max3sat,max3sat_003,True,ring12,canonical,2718,600,20323,0,True
max3sat,max3sat,max3sat_003,True,ring12,canonical,31415,576,20347,0,True
max3sat,max3sat,max3sat_003,True,ring12,canonical,57721,582,20341,0,True
max3sat,max3sat,max3sat_003,True,ring12,canonical,65537,576,20347,0,True
max3sat,max3sat,max3sat_003,True,ring12,reuse,1729,340,20583,0,True
max3sat,max3sat,max3sat_003,True,ring12,reuse,2718,340,20583,0,True
max3sat,max3sat,max3sat_003,True,ring12,reuse,31415,340,20583,0,True
max3sat,max3sat,max3sat_003,True,ring12,reuse,57721,340,20583,0,True
