family,instance_id,topology,synthesis,seed,selected_candidate_id,selected_category,baseline_selected_candidate_id,baseline_selected_feasible,baseline_budget_cells,retained_baseline_budget_cells,baseline_coverage_retention,baseline_resource_task_id,current_resource_task_id,budget_set_definition
max3sat,max3sat_000,grid12,canonical,1729,9dd9dda001fb8620cfb7ee5b,native,9dd9dda001fb8620cfb7ee5b,TRUE,9030,9030,1.0,8a235bc254470b1f98a6cece,8a235bc254470b1f98a6cece,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,canonical,2718,9dd9dda001fb8620cfb7ee5b,native,9dd9dda001fb8620cfb7ee5b,FALSE,9030,7175,0.7945736434108527,8a235bc254470b1f98a6cece,dd8cd701c5fa41f9e6bc47f2,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,canonical,31415,9dd9dda001fb8620cfb7ee5b,native,9dd9dda001fb8620cfb7ee5b,FALSE,9030,8820,0.9767441860465116,8a235bc254470b1f98a6cece,6ae19bd268c51c11277a0047,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,canonical,57721,9dd9dda001fb8620cfb7ee5b,native,9dd9dda001fb8620cfb7ee5b,FALSE,9030,7350,0.813953488372093,8a235bc254470b1f98a6cece,83b4f29658eb522f9f001151,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,canonical,65537,9dd9dda001fb8620cfb7ee5b,native,9dd9dda001fb8620cfb7ee5b,FALSE,9030,7525,0.8333333333333334,8a235bc254470b1f98a6cece,58ab08e76660a482e7f0fab7,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,reuse,1729,3b63b130c0543bc80063d1b3,native,3b63b130c0543bc80063d1b3,TRUE,14700,14700,1.0,08073e17b307a84a921f3133,08073e17b307a84a921f3133,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,reuse,2718,3b63b130c0543bc80063d1b3,native,3b63b130c0543bc80063d1b3,TRUE,14700,14700,1.0,08073e17b307a84a921f3133,70e76f93b6f30701c570e090,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,reuse,31415,3b63b130c0543bc80063d1b3,native,3b63b130c0543bc80063d1b3,TRUE,14700,14700,1.0,08073e17b307a84a921f3133,87816dcf9b684b63961a77a2,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,reuse,57721,3b63b130c0543bc80063d1b3,native,3b63b130c0543bc80063d1b3,TRUE,14700,14700,1.0,08073e17b307a84a921f3133,3ed6d6b4a4153c4a3d536dbc,all complete grid tuples feasible for the fixed baseline J winner
max3sat,max3sat_000,grid12,reuse,65537,3b63b130c0543bc80063d1b3,native,3b63b130c0543bc80063d1b3,TRUE,14700,14700,1.0,08073e17b307a84a921f3133,50fe970e96e404a576e1febf,all complete grid tuples feasible for the fixed baseline J winner
