family,family_label,instance_id,rank,selected,restricted,selection_hash,instance_sha256,source_sha256,qualification
max3sat,max3sat,max3sat_003,0,True,True,021bf6e6e88071c4ed7ecee3350de5ddf3347b4108a0e617bd849bbe3fcdc462,1847fa83ecd971f3d96b13ad11053d70b89eedc6724a3c541a1af51d43075f4b,777e2d53804c56f5168ffded979c25ce9fb65ff4b3f4bd32b5ee24f170cc5e38,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_016,1,True,True,046e2c5fef55e0e93abbc95a70e7b74c57e6d4a84e44553b6f1e8f410c1a704f,c358979f206645ae92472fb899b3a6055519c1adc3ef4efbb3710ad9cb6059ca,499ce5b25715d633bb30367e82c4b1c325e1dedbb37fbbfb1d3b6a545547f2d6,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_013,2,True,True,0b7d323395083776c792e587d5c96383e30de524f419bdb30e519fc074ffd480,ea8d6fe778a69297fd22c6de1f47d2787bf9bc7a2eee356ebc23c33ca8fdc485,9546fa5ea1c7985d07c771ba01742b769d31424dfa803838c53f010fa8c9b67f,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_017,3,True,True,0c8dfe14b413369a0e6a32e2a39f00b4a75070a64eef0b83d720be379e8924da,545d2dfce0acf09a66a57ebbd3c3fb006ccb48794f8693a9703d9411e9751338,be0e68c88634d6467dd24f6506a2ea03d6a2899947336424fd55858cec47b9da,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_019,4,True,True,0f6e7155727212913c70f1b0546677feebe4bfd33e7b13323d6de26f6454d086,768d5fa37fb778cc415814fe978179f89c18b0798c1c7499562885d4a8561309,0360bdc2dfd7cef3c3018a1516721ee3c1b71b16f780a5ee64d4ff8895cf5756,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_004,5,True,True,13a9ca85708deb2f0b9e0b83fc134e1136f332fa63468e4c5a60696ecb2cfd61,95d60fabb5e000b9eec6f170b240f8bae98b20f02069fc07d644f4fc3118c839,9fc1a556b808623916813d7b9122409b4d1af1e4eb0eb89fcb27ca732e334f00,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_020,6,True,True,14599514a55da2c624e0fc458142f634cfdf8a2d66c5999cec447a39c53ff61b,4aca31c2e9e7a6e81c8b3fb3bd4b09aba9fa07d259140a9b9ce58f472995d2f4,e823b0199dd757a9ea3e64699a675f1c28fa9507ec51e7670f9e3b3fb47672f0,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_021,7,True,True,16606405fde2c218f003a1e5609ef52e38514b2d300d07e9c5485b21ae89885d,dc2f5ae531e9faa7889cd3b4fbc683aa0b3b15c1506568edb0bf6d935f555f2a,35c6e3a8ea7bdb70458b3e694b1403a1d958a07c2c0139c7cff071a228058135,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_010,8,True,True,184157dabba1fbc1374fe65f9d2c958354c0998ba6f2343abc140962c3f83d4e,da8c80dbda9a474ecce499d1f2920e464e7313c2354ad81f4c15d1f7514096f5,a4105ce18d97109040ebedf2fd81f1ae4ddb0cea85b3847cdc07e06b8c7e062c,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_000,9,True,True,1fc6966b83dead367988c87388c2bd3ce114d50a2ef397c41a980f76b47c6c67,eb52e217e2eac9e9e3e8ae2593d001e48a03ae97b3f4ad28ffdd71e7e2cda327,1c316555b6312bc2a781156849863c6ed57c0aa8a558f96323b87aca0bb4d2b6,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_007,10,True,False,29062791e79dcb09ffe07b5539ede9f0dbfabd505882679008ff768a0f29085c,55a0268a75a996ce1567e9b3d28698fe87bddb8122b10a0cbb426c7d0c2f0c66,7b24d12ec2356abbe041f71c7366c1694e639401ad74e381b1c053d13042de10,readable_and_frozen_exactness_traceable
max3sat,max3sat,max3sat_026,11,True,False,2e9bf450b177436395dcfb0b1fbf036b2bffab3106e3543d8437fd4d4fb4ef9f,ec882acc6c43ab1db4fd374abcf0ea06cf4ebd531fa819ad45556b06ca57a8d2,a9e92ee79afa889adc596598e0a60ac5f14402ff659e76f12a639783bd05cdb7,readable_and_frozen_exactness_traceable
