task_id,study,instance_id,representation,budget_key,p,warm_start_policy,pair_closure,code_commit,validation_commit,source_file_sha256,source_csv_row_number,evaluations,current_evaluations,effective_optimization_evaluations,evaluation_accounting,reuse_metric_errors_json
2ffe957aeedc12d4434b6f5401b99ec6495567e14879d42c9bab37785a71db8b,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,all_native,equal_2q_budget_128,0,cold_start,not_applicable,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,446,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 0.0, ""optimum_hit_rate"": 0.0, ""original_objective_best"": 0.0, ""original_objective_mean"": 0.0, ""statevector_norm"": 0.0}"
c0e2e212909b1a3b0d7cef3da3213434fceaa1dc4d58e93b2d4be609148fd490,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,all_native,equal_2q_budget_128,0,cold_start,not_applicable,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,447,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 0.0, ""optimum_hit_rate"": 0.0, ""original_objective_best"": 0.0, ""original_objective_mean"": 0.0, ""statevector_norm"": 0.0}"
bd764d625f74dbfa4930c97e7ad57d8714ce09cfbf6d081e4663d1416ccc4152,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,all_native,equal_2q_budget_128,0,cold_start,not_applicable,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,448,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 0.0, ""optimum_hit_rate"": 0.0, ""original_objective_best"": 0.0, ""original_objective_mean"": 0.0, ""statevector_norm"": 0.0}"
bc1e87f9b27225e41d6ec37a679e048e6b2f9e1cf3e57e78bd2f2871be709473,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,all_native,equal_2q_budget_128,0,original_variables_only,auxiliary_cold_half,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,449,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 2.6645352591003757e-15, ""optimum_hit_rate"": 1.3877787807814457e-17, ""original_objective_best"": 0.0, ""original_objective_mean"": 2.6645352591003757e-15, ""statevector_norm"": 0.0}"
e5d5424a374f5bda77495f1436e4109265729ce7b39c77631fc1375af89c2d1e,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,all_native,equal_2q_budget_128,0,original_variables_only,auxiliary_cold_half,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,450,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 2.6645352591003757e-15, ""optimum_hit_rate"": 1.3877787807814457e-17, ""original_objective_best"": 0.0, ""original_objective_mean"": 2.6645352591003757e-15, ""statevector_norm"": 0.0}"
6731323903dbd01fcf60b6506f19cca7113c4c37c0981d027bccc127edaa1935,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,all_native,equal_2q_budget_128,0,original_variables_only,auxiliary_cold_half,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,451,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 2.6645352591003757e-15, ""optimum_hit_rate"": 1.3877787807814457e-17, ""original_objective_best"": 0.0, ""original_objective_mean"": 2.6645352591003757e-15, ""statevector_norm"": 0.0}"
278a4bb80a2a0acf9bc85f998217c6faadc1962221779dade992385665250d12,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,matched_random_selective,equal_2q_budget_128,0,cold_start,not_applicable,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,578,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 0.0, ""optimum_hit_rate"": 0.0, ""original_objective_best"": 0.0, ""original_objective_mean"": 0.0, ""statevector_norm"": 0.0}"
f06df48ff5c575682b1bc694f534f3990eef6da23db5f709496c136a889b3174,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,matched_random_selective,equal_2q_budget_128,0,cold_start,not_applicable,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,579,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 0.0, ""optimum_hit_rate"": 0.0, ""original_objective_best"": 0.0, ""original_objective_mean"": 0.0, ""statevector_norm"": 0.0}"
3f89f4f8d8c3876636cdd6ff9fd81c76d2ee52898c372ccf7fe36b5d385eed92,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,matched_random_selective,equal_2q_budget_128,0,cold_start,not_applicable,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,580,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 0.0, ""encoded_energy_mean"": 0.0, ""optimum_hit_rate"": 0.0, ""original_objective_best"": 0.0, ""original_objective_mean"": 0.0, ""statevector_norm"": 0.0}"
82f3e14dd8afa131931eac4778a6bf9c8b64a4e748032c7cd489a6c55e586ad0,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,matched_random_selective,equal_2q_budget_128,0,original_variables_only,auxiliary_cold_half,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,581,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 5.551115123125783e-16, ""encoded_energy_mean"": 7.105427357601002e-15, ""optimum_hit_rate"": 1.3877787807814457e-17, ""original_objective_best"": 0.0, ""original_objective_mean"": 8.881784197001252e-16, ""statevector_norm"": 0.0}"
d9ce9c013a9d5e09947c01486a92e274be6d5d8b86da72e48d75b9aa5224d063,original_e4,inst_6386a5a1674291c3376f16cf10c8a127d668fed887d3581704ddfab01214aa0f,matched_random_selective,equal_2q_budget_128,0,original_variables_only,auxiliary_cold_half,749d39f68d29d796da0060f6c180c3306254979e,1301a48c88d27ddc47c4fe10c547745d6fe28d9b,02505fb7952c35d924c5318561fb05b1f8662790a202b8d7ed29aee36756b8a5,582,60,1,0,source 60 repeated initial-state evaluations; current replay 1; no optimization,"{""auxiliary_inconsistency_rate"": 5.551115123125783e-16, ""encoded_energy_mean"": 7.105427357601002e-15, ""optimum_hit_rate"": 1.3877787807814457e-17, ""original_objective_best"": 0.0, ""original_objective_mean"": 8.881784197001252e-16, ""statevector_norm"": 0.0}"
