study,family,instance_id,representation,budget_key,policy,random_rep_seed,p,restart_count,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,cold,,1,3,-1.897393662551364,10.85582540301582,0.005159995406214754,0.7839083914728842,1.0000000000000007
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,original_only,,1,3,-1.0421517970197784,11.454459758875695,0.003907992920860237,0.7787765045174303,1.0000000000000009
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,pair,,1,3,-1.7042174742472962,8.730958975440421,0.006470862890915222,0.7300786286244234,0.9999999999999992
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,independence,,1,3,-1.4485402863929064,10.526370906924003,0.005520113199534197,0.7262649374220951,1.0000000000000007
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,cold,,2,3,-3.2504871130981603,10.539175845513466,0.010516340304414099,0.7474534163252554,0.9999999999999994
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,original_only,,2,3,-2.1883376138081805,10.767359948971794,0.005350338265005596,0.7487920805505747,1.0000000000000016
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,pair,,2,3,-2.618943506015814,9.307530099947945,0.006620377669589988,0.7197041891319588,1.000000000000001
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,independence,,2,3,-1.6473531350748922,10.590542731448261,0.005101667514680853,0.7222335712671111,1.0000000000000004
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,cold,,1,3,-0.3794963849196926,55.388883323712186,0.030421050374840972,0.9685416585389851,0.9999999999999999
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,original_only,,1,3,-0.45319951394697694,47.10698217206425,0.04113750592583973,0.9800786187722772,1.0000000000000004
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,pair,,1,3,-0.4428621364768231,39.66001544428902,0.03305671350475301,0.9562794854678573,0.9999999999999996
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p1,independence,,1,3,-0.4808934387792103,49.21054588226591,0.041718154576292514,0.9769069619388446,0.9999999999999994
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,cold,,2,3,-0.5777490457780278,46.96632909051842,0.03986028559639424,0.9568893790896055,1.0000000000000002
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,original_only,,2,3,-0.3810071671121779,51.05154925692289,0.025548683433083794,0.9678188681224519,0.9999999999999997
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,pair,,2,3,-0.4823739779345206,44.76968780772652,0.029682259242696993,0.9583521380434705,1.0
targeted,cubic_spin_glass,inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,selective,equal_layer_p2,independence,,2,3,-0.4025286347647556,43.479480950647066,0.039150883747282844,0.950820720154459,1.0000000000000002
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,cold,,1,3,-2.056491488132067,51.46358290252653,0.008364430034694458,0.9536221619435691,0.9999999999999994
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,original_only,,1,3,-2.2578217016379005,43.99997492921546,0.002489876318492587,0.9374435904051287,1.0000000000000007
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,pair,,1,3,-2.6839188577504696,35.16521442436974,0.0034573708096696416,0.8930691740143345,1.0000000000000007
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p1,independence,,1,3,-1.9429407225401594,31.725718666218963,0.002865959684900291,0.8684714693507337,1.0
targeted,cubic_spin_glass,inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,selective,equal_layer_p2,cold,,2,3,-0.859982041760165,41.39789732461467,0.006165109850534684,0.9473385717612239,0.9999999999999999
