study,family,instance_id,representation,budget_key,depth_stratum,contrast,draw_count,zero_depth_draw_count,original_objective_mean,encoded_energy_mean,optimum_hit_rate,auxiliary_inconsistency_rate,statevector_norm
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,all_scheduled,pair_minus_cold,1,0,0.1931761883040679,-2.124866427575398,0.0013108674847004675,-0.05382976284846075,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,all_scheduled,original_only_minus_cold,1,0,0.8552418655315857,0.5986343558598755,-0.0012520024853545173,-0.005131886955453857,2.220446049250313e-16
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,all_scheduled,independence_minus_cold,1,0,0.44885337615845766,-0.32945449609181665,0.0003601177933194432,-0.05764345405078908,0.0
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,all_scheduled,pair_minus_original_only,1,0,-0.6620656772275177,-2.7235007834352736,0.002562869970054985,-0.04869787589300689,-1.6653345369377348e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,all_scheduled,pair_minus_independence,1,0,-0.25567718785438975,-1.7954119314835815,0.0009507496913810243,0.0038136912023283287,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,positive_depth_only,pair_minus_cold,1,0,0.1931761883040679,-2.124866427575398,0.0013108674847004675,-0.05382976284846075,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,positive_depth_only,original_only_minus_cold,1,0,0.8552418655315857,0.5986343558598755,-0.0012520024853545173,-0.005131886955453857,2.220446049250313e-16
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,positive_depth_only,independence_minus_cold,1,0,0.44885337615845766,-0.32945449609181665,0.0003601177933194432,-0.05764345405078908,0.0
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,positive_depth_only,pair_minus_original_only,1,0,-0.6620656772275177,-2.7235007834352736,0.002562869970054985,-0.04869787589300689,-1.6653345369377348e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p1,positive_depth_only,pair_minus_independence,1,0,-0.25567718785438975,-1.7954119314835815,0.0009507496913810243,0.0038136912023283287,-1.4432899320127035e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,all_scheduled,pair_minus_cold,1,0,0.6315436070823464,-1.2316457455655208,-0.003895962634824111,-0.027749227193296644,1.6653345369377348e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,all_scheduled,original_only_minus_cold,1,0,1.0621494992899798,0.22818410345832874,-0.005166002039408503,0.0013386642253192527,2.1094237467877974e-15
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,all_scheduled,independence_minus_cold,1,0,1.603133978023268,0.05136688593479555,-0.0054146727897332455,-0.02521984505814434,9.992007221626409e-16
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,all_scheduled,pair_minus_original_only,1,0,-0.43060589220763346,-1.4598298490238495,0.0012700394045843917,-0.029087891418615897,-4.440892098500626e-16
targeted,cubic_spin_glass,inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,selective,equal_layer_p2,all_scheduled,pair_minus_independence,1,0,-0.9715903709409217,-1.2830126315003163,0.0015187101549091345,-0.0025293821351523027,6.661338147750939e-16
