instance_id,family,tier,split,n,regime,generator_mode,instance_seed,raw_file,raw_sha256,canonical_file,canonical_sha256,validation_status,ground_truth_status,qmax,all_native_width,fully_quadratized_width,selective_width_upper_bound,matched_random_width_upper_bound,all_four_within_qmax,origin,config_sha256,generation_plan_sha256,code_commit
inst_978c368ff5bb87297b67d689adffef2a8a61615398dcc1b4abee87bbe84a351c,max3sat,noise_subset,validation,6,high,anchor_pair,1724272743371229750,raw/max3sat/inst_978c368ff5bb87297b67d689adffef2a8a61615398dcc1b4abee87bbe84a351c.json,7bb7d47fb74c0f0c023ea96d12a556ca189a08349462244432526cd0fb6944b3,canonical/inst_978c368ff5bb87297b67d689adffef2a8a61615398dcc1b4abee87bbe84a351c.json,12ee164165da5092d8c1ad206dc6276e3bb9b990e1866d3e9a70cc42278711fd,pass,optimal,,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_6e1b06d7ea43e3f3ea56b4d65c888b171b0b8e082d901f1993a38fcee8467025,max3sat,noise_subset,test,6,high,uniform,5799957021557901660,raw/max3sat/inst_6e1b06d7ea43e3f3ea56b4d65c888b171b0b8e082d901f1993a38fcee8467025.json,cb6da7bb7e42c1bc90be908a3353c48532b78bd16e0ab468c7caf62916c8390c,canonical/inst_6e1b06d7ea43e3f3ea56b4d65c888b171b0b8e082d901f1993a38fcee8467025.json,ba982d92781770a7bfcf44ae19a370702e7eb2d8327ab1d6fd142e96403f7102,pass,optimal,,6,12,12,12,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_25b483ef7012b2525897b043600d7021fdf80f7bdca55f987e5490a7352a1570,max3sat,noise_subset,train,6,intermediate,anchor_pair,9179052833801220511,raw/max3sat/inst_25b483ef7012b2525897b043600d7021fdf80f7bdca55f987e5490a7352a1570.json,cf0831166bb7899e85017f90cd2096b6daf681675022daad83ac685587e51ccf,canonical/inst_25b483ef7012b2525897b043600d7021fdf80f7bdca55f987e5490a7352a1570.json,fcaabe9cf7520689dc3d7ca48f79d37e62ff85dbd000d2f5b4b7616e94e43ad3,pass,optimal,,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_acbf81eed080cb0966307b9d199008aead5fdef8c6ff8f37b637df67070c0e62,max3sat,noise_subset,test,6,intermediate,uniform,1042524451568219041,raw/max3sat/inst_acbf81eed080cb0966307b9d199008aead5fdef8c6ff8f37b637df67070c0e62.json,7222d25bf63ae6fcd2aa598a15fec896b98df886c57293ee5216027eb077f331,canonical/inst_acbf81eed080cb0966307b9d199008aead5fdef8c6ff8f37b637df67070c0e62.json,25803008fbaf5678b79de9fd308a369b7b390c9e3a4f7d8c3cebdcc17185c838,pass,optimal,,6,11,11,11,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_76b4fceaa4971ac39515576d3b4ae8be7e9cc630ca02f37f35038b1a211ddd14,max3sat,noise_subset,test,6,low,anchor_pair,8775421186341018331,raw/max3sat/inst_76b4fceaa4971ac39515576d3b4ae8be7e9cc630ca02f37f35038b1a211ddd14.json,c40c3e7900711d0b3401f9d6de0c9fcee3c3df2b5f99d107b8c8f120129136f5,canonical/inst_76b4fceaa4971ac39515576d3b4ae8be7e9cc630ca02f37f35038b1a211ddd14.json,4ba0bb084cfd8a7754ad888e8a8dadd5125ca7c1974d88c1bf528ffffaf564a6,pass,optimal,,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_1e4da500dce3d92221927deee513215ccf25427772bb75430a1f8eb8417f5465,max3sat,noise_subset,train,6,low,uniform,6289992472653807275,raw/max3sat/inst_1e4da500dce3d92221927deee513215ccf25427772bb75430a1f8eb8417f5465.json,9c1655aa663381c40182a2539a4f89a3a3e253aab5552dfd978ab8fa225a132f,canonical/inst_1e4da500dce3d92221927deee513215ccf25427772bb75430a1f8eb8417f5465.json,209c9e65d1609666d619bd228fb536257e53ab3eefa67aa8cd3dbe85e50c3479,pass,optimal,,6,10,10,10,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_3419a0a271f895203877dd111ea5b69937d12be4625e682c969accdb8084cbdd,max3sat,noise_subset,train,8,high,anchor_pair,6494413810709397515,raw/max3sat/inst_3419a0a271f895203877dd111ea5b69937d12be4625e682c969accdb8084cbdd.json,fc5a5e1dff52104e6571757947b351e96615d647e02b093b29fce1929eb5047f,canonical/inst_3419a0a271f895203877dd111ea5b69937d12be4625e682c969accdb8084cbdd.json,99cc37026b6fe06088f371069f9163ec85d1b44508b85296c6e462eee1cd44f7,pass,optimal,,8,10,10,10,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_9b6ce8884ae154982c2939a60289ee47dfa313091f1d48b8103f43407954fa13,max3sat,noise_subset,train,8,intermediate,anchor_pair,948957155853442301,raw/max3sat/inst_9b6ce8884ae154982c2939a60289ee47dfa313091f1d48b8103f43407954fa13.json,5d92026f52da20b1d9ef5991878f272684aadf1c58cebef681c2327b912be0d4,canonical/inst_9b6ce8884ae154982c2939a60289ee47dfa313091f1d48b8103f43407954fa13.json,bb97bf7d6cb01d46bcf9a1ce810e87aa9741828d4095896664d7d8f2e6eef3c3,pass,optimal,,8,10,10,10,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_b37828179f6c6800c802702f1d239fd05b463464d96b80d54b9f3288c26e23b2,max3sat,noise_subset,train,8,low,anchor_pair,6528705412493470694,raw/max3sat/inst_b37828179f6c6800c802702f1d239fd05b463464d96b80d54b9f3288c26e23b2.json,8e0340e2cb43997b83fe23603868cfd8710db6c73bab98bf285d61962e38570c,canonical/inst_b37828179f6c6800c802702f1d239fd05b463464d96b80d54b9f3288c26e23b2.json,74a25e0dbb77b23606cd41ea47a3be392d9b27dbc53d84224052bb505a140a7c,pass,optimal,,8,10,10,10,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_2b7c854a2ddbb78ddffae9a2720daf40eaa572b5cf2bb2b48a7306e186d37058,cubic_spin_glass,noise_subset,validation,6,high,uniform,6690689700990824332,raw/cubic_spin_glass/inst_2b7c854a2ddbb78ddffae9a2720daf40eaa572b5cf2bb2b48a7306e186d37058.json,dc633561c0ea0f5cc7e7fe86d7ce32f2186f8af3ef33af542bcbd23954851563,canonical/inst_2b7c854a2ddbb78ddffae9a2720daf40eaa572b5cf2bb2b48a7306e186d37058.json,a8270e26afaa185924f5d48b22ff89157d81089f43f47d05b6a017b2b47b250b,pass,optimal,,6,12,12,12,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_336b32e64a4e400307ddc3a363856314c3215ad4d7bbf6244ed91f1a3fb34983,cubic_spin_glass,noise_subset,train,6,intermediate,anchor_pair,1428219527172119021,raw/cubic_spin_glass/inst_336b32e64a4e400307ddc3a363856314c3215ad4d7bbf6244ed91f1a3fb34983.json,c672daa2b4e9c6484cec62dbee1ecc23809171e9412a92e10a49fd06e5939f9c,canonical/inst_336b32e64a4e400307ddc3a363856314c3215ad4d7bbf6244ed91f1a3fb34983.json,e969809a8e4f6af31dcbe98c8042d6feee28f17e2beb9d8e35b6367d53adaa4e,pass,optimal,,6,9,9,9,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
