instance_id,family,tier,split,n,regime,generator_mode,instance_seed,raw_file,raw_sha256,canonical_file,canonical_sha256,validation_status,ground_truth_status,qmax,all_native_width,fully_quadratized_width,selective_width_upper_bound,matched_random_width_upper_bound,all_four_within_qmax,origin,config_sha256,generation_plan_sha256,code_commit
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,oracle,train,6,low,anchor_pair,5766305083228495218,raw/cubic_spin_glass/inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e.json,f8df381e428abf5fb8622b46949fe78d3376f345a861b0ea30f62edae9b519dd,canonical/inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e.json,32ccb36f0eb875629c920d56ceae01cdff7b7a3aff201b442c17d836396d99b2,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,max3sat,oracle,train,5,intermediate,anchor_pair,4203910183012446927,raw/max3sat/inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc.json,7dd7dcbb9ce74b6f3232370c86535ed8fd4c7433e87e44da27a265e686da90a6,canonical/inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc.json,ce40184bd8b35fe11b7e7b9de6bacf344f56af6362a990fe5005ec1a351d16e8,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,max3sat,oracle,train,6,low,anchor_pair,239195075876495626,raw/max3sat/inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3.json,4baa812c61d61d37cba7e8010704ff6963be78031c680e3604758434550b109e,canonical/inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3.json,f717f21730e62d67b39b91677320dfba11f3713e16658286cd03e6025e3f6b5b,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6,max3sat,oracle,test,7,low,anchor_pair,360638212940860803,raw/max3sat/inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6.json,248e259ffc661d4ecf79727fcb2d42ebfdbe1afc692245ee2257c9f2f1dbf2a4,canonical/inst_04c7adf299195c173b500ce86f205513eca7d191719b6400ef5c5d39ea93edd6.json,010c635a016f4f69785984b3d2aa4039797baa6890053cfb8df8d449ed84a38b,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26,max3sat,oracle,train,8,low,anchor_pair,3079781745038321869,raw/max3sat/inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26.json,87176d67f2e8161f8a5bf427a01701fd665ce58a80d0ef6f905517c914c8ffa9,canonical/inst_0814a7f7209be13ad388d27539bcc139991e38e27e4109df932f9f2de6d1fb26.json,29d1903009f911a007fbdf0d89772f983bc6ac0ebf6a964cbc3a23d28e9c55b8,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09,max3sat,oracle,train,7,intermediate,anchor_pair,3154708903763569224,raw/max3sat/inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09.json,9463f375bbcf288e6365ef8f0578afa0e34afa277d34733b9322a235298aa5fd,canonical/inst_0bdf06213b0c1e415e6c0a81524e96b9851ee0dc28195e16ab9709770c9c0a09.json,2a972b48faefdf79a006654d0f6f019b98d3ad3a080cbff0e839b619e1f97539,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f,max3sat,oracle,validation,8,low,anchor_pair,5595167661644070620,raw/max3sat/inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f.json,00b1ab4eb028f88f11298875822f2fb3baa95d1977fa4cb7b402171fbda3496b,canonical/inst_0f7871f37dcd4ef84cf9455a90e11b827d46367515b165688ef404b08d63104f.json,ed8abdfa0f0df5e9a7da98a280f37663f5cd5412d7b8f114c8c6dc7608e90784,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d,cubic_spin_glass,oracle,train,7,low,uniform,8816558292608001856,raw/cubic_spin_glass/inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d.json,81a7441c84dc4af56b5a0e7b1434386aa7e8c0dbaa00327c6f2ab56f57a0b6d0,canonical/inst_10ca5aecf714abb0b674a9eef82f020a79bf22927cabfbb4326e9c5809e6543d.json,a90925c3d0e9af14fc1da0e02d3c4a401ad7da515cc2cb80446afe1992a92477,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_180785c07fe5da0a6002c7eb0dca0888faae7967d7ce35621d5dd5a4887463d9,cubic_spin_glass,oracle,train,7,low,anchor_pair,5588458250871608018,raw/cubic_spin_glass/inst_180785c07fe5da0a6002c7eb0dca0888faae7967d7ce35621d5dd5a4887463d9.json,757b13f32e9f0fd885bc2d69f145a550096043a1b1ef7e93b1da8b0dd489f962,canonical/inst_180785c07fe5da0a6002c7eb0dca0888faae7967d7ce35621d5dd5a4887463d9.json,e4bbec0fe2fc0fa0b313575da8de010339c0d2756e19e667c11feabbcab6c69a,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_2054e7fca85340c05c6ca94bcfab677cc7edc66aa48bd6adfd3eee1d03749506,cubic_spin_glass,oracle,test,6,low,uniform,1844830265796489768,raw/cubic_spin_glass/inst_2054e7fca85340c05c6ca94bcfab677cc7edc66aa48bd6adfd3eee1d03749506.json,69f5a37ae2fa9781ab499bdec81e8835d92f5d19344503298d5d734593c5208b,canonical/inst_2054e7fca85340c05c6ca94bcfab677cc7edc66aa48bd6adfd3eee1d03749506.json,761c2e58eef8908fe41f53a769bcfa6664731340bee93f2da90492c572f063c9,pass,optimal,,,,,,,formal_oracle_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
