instance_id,family,tier,split,n,regime,generator_mode,instance_seed,raw_file,raw_sha256,canonical_file,canonical_sha256,validation_status,ground_truth_status,qmax,all_native_width,fully_quadratized_width,selective_width_upper_bound,matched_random_width_upper_bound,all_four_within_qmax,origin,config_sha256,generation_plan_sha256,code_commit
inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,cubic_spin_glass,qaoa,train,6,intermediate,uniform,4091559668828080762,raw/cubic_spin_glass/inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084.json,3e49e8a906e634e05dac6a6b69663a027f8bb829ac2a061bdeceb47ec20de0f2,canonical/inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084.json,783a35cf5995af7829ddf8b3fe65708972440cf2b2af9f44bc776ef5664ed3ce,pass,optimal,12,6,11,11,11,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,qaoa,test,6,low,uniform,3320431567548888733,raw/cubic_spin_glass/inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47.json,391a08fa2e29f77667f6ece68c60ab1b55dc3610727892f8ccc5e00b697a27ef,canonical/inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47.json,4bd56c3b45e42b613c0f4dc336e69ecaedf4f42784b30ae5dc875057da6787dc,pass,optimal,12,6,9,9,9,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_0d01f2a84f10d513faa8f67e2513dbb4c6a8b20801d9ae1470152b7190d2604b,cubic_spin_glass,qaoa,validation,6,low,anchor_pair,7172589564129364940,raw/cubic_spin_glass/inst_0d01f2a84f10d513faa8f67e2513dbb4c6a8b20801d9ae1470152b7190d2604b.json,09ee5b196d1d14583923f9d800512853eee9d76182fe0f9a4d8c8ade2fc60e81,canonical/inst_0d01f2a84f10d513faa8f67e2513dbb4c6a8b20801d9ae1470152b7190d2604b.json,1b275a064091c6b1ff3456f6ab11a0c693df2718c4e0e3c7441bbdd4e5c61a66,pass,optimal,12,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_13b5d2a7117883e0dd95e95f184fc82c6f4ab0340b8270f9f241a63d9c4c3097,max3sat,qaoa,validation,10,low,anchor_pair,8941291328125638203,raw/max3sat/inst_13b5d2a7117883e0dd95e95f184fc82c6f4ab0340b8270f9f241a63d9c4c3097.json,16cc220ec62594a6a8dcd31944b0df094e100a1d1ee67c38aa7bf64289fea0b4,canonical/inst_13b5d2a7117883e0dd95e95f184fc82c6f4ab0340b8270f9f241a63d9c4c3097.json,810d3d05ca1ec3fdbc9e065b565848215fdccc023d83025adeb5cff2189b2d58,pass,optimal,12,10,12,12,12,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_1500ff5f019c3f49b5fc996a691bdf61369c9cb9b85ee0bd2e3d7114f2b52336,max3sat,qaoa,validation,6,low,anchor_pair,3753111336617178560,raw/max3sat/inst_1500ff5f019c3f49b5fc996a691bdf61369c9cb9b85ee0bd2e3d7114f2b52336.json,ff52cd7529c0c1edc24dc518d8417deb38e426f33320b6324877429b9de2a064,canonical/inst_1500ff5f019c3f49b5fc996a691bdf61369c9cb9b85ee0bd2e3d7114f2b52336.json,a421b4ddf31b75b70a3a8573c6d56cf32c8b18f16c351f42d51c66fc1578dff0,pass,optimal,12,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef,cubic_spin_glass,qaoa,train,10,low,anchor_pair,6044293916680755243,raw/cubic_spin_glass/inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef.json,b91582728bbfa27dd7a597bb9bac1f36b911b59cac5edd500be2d111cd913637,canonical/inst_1b4f0ef7fd72cb047be9f8d1f10dd8b773de7906795b02e88a72b0aec525d5ef.json,feea304ddff3a03059b9615fa9cecbf5f5a596bfaaa04893ff4a066d9b5bcb83,pass,optimal,12,10,12,12,12,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_1e4da500dce3d92221927deee513215ccf25427772bb75430a1f8eb8417f5465,max3sat,qaoa,train,6,low,uniform,6289992472653807275,raw/max3sat/inst_1e4da500dce3d92221927deee513215ccf25427772bb75430a1f8eb8417f5465.json,9c1655aa663381c40182a2539a4f89a3a3e253aab5552dfd978ab8fa225a132f,canonical/inst_1e4da500dce3d92221927deee513215ccf25427772bb75430a1f8eb8417f5465.json,209c9e65d1609666d619bd228fb536257e53ab3eefa67aa8cd3dbe85e50c3479,pass,optimal,12,6,10,10,10,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_1f38565d0249629ccd91d59429a59874484c5e49585622367237a3c089310256,max3sat,qaoa,train,6,low,uniform,6118544403806521075,raw/max3sat/inst_1f38565d0249629ccd91d59429a59874484c5e49585622367237a3c089310256.json,3bb608d2737ca03242e09e2c6d48898b8dc20f0645d57d9f07cf53b6111c0f95,canonical/inst_1f38565d0249629ccd91d59429a59874484c5e49585622367237a3c089310256.json,65f6f85b65c13e3c1607a5ab36428236aad8bb5d63137a1601b8738ee7dcf60d,pass,optimal,12,6,11,11,11,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_255623f933cc900883afa210b6d47922d9729feb2c969ac77c388dbfc757bb48,cubic_spin_glass,qaoa,train,6,low,anchor_pair,7986907862162954451,raw/cubic_spin_glass/inst_255623f933cc900883afa210b6d47922d9729feb2c969ac77c388dbfc757bb48.json,fa1d66b0ae14a83dce8296a494d74107b80bef25a6a9bda2c24d3c7c2014cfc7,canonical/inst_255623f933cc900883afa210b6d47922d9729feb2c969ac77c388dbfc757bb48.json,4239a751e819ab868f810259ec42b7e094618e4028760f2dd28a0af30db681fc,pass,optimal,12,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
inst_25b483ef7012b2525897b043600d7021fdf80f7bdca55f987e5490a7352a1570,max3sat,qaoa,train,6,intermediate,anchor_pair,9179052833801220511,raw/max3sat/inst_25b483ef7012b2525897b043600d7021fdf80f7bdca55f987e5490a7352a1570.json,cf0831166bb7899e85017f90cd2096b6daf681675022daad83ac685587e51ccf,canonical/inst_25b483ef7012b2525897b043600d7021fdf80f7bdca55f987e5490a7352a1570.json,fcaabe9cf7520689dc3d7ca48f79d37e62ff85dbd000d2f5b4b7616e94e43ad3,pass,optimal,12,6,8,8,8,True,formal_qaoa_generation,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16
