candidate_tier,family,attempt,n,regime,generator_mode,instance_seed,instance_id,reason,retained_for
oracle,max3sat,2,5,intermediate,uniform,7946735930927866773,inst_2f362fcc33975f591a6fcec0fde726dd779ad7a835c2495a3536dcb0cca7f570,oracle_m3_limit,audit_only
oracle,max3sat,4,5,high,uniform,9208955608941842570,inst_449e36993f32418f778d8636a6dcc15d5618cf80d4f54dd2f7d8e14e78a3106c,oracle_m3_limit,audit_only
oracle,max3sat,6,6,low,uniform,7701618560075283196,inst_ce17f4a2602b7eb2435b1b546792a37f3345d9364231d8285e2647c6ebfdd6a7,oracle_m3_limit,audit_only
oracle,max3sat,8,6,intermediate,uniform,4112122759683804647,inst_00cd29451184f58f48fed868d1799df91af6f6ab73b98f7b53b8087099b8228c,oracle_m3_limit,audit_only
oracle,max3sat,10,6,high,uniform,3924668201641168266,inst_fc55a2204b880665868b0aff05201d1ae1125ef0d7d92d6fb0b1e71974b76cea,oracle_m3_limit,audit_only
oracle,max3sat,12,7,low,uniform,461689587453439780,inst_c1b48007519793c11ac3f2de88d94991293156be34de772e7e1214f6f858535d,oracle_m3_limit,audit_only
oracle,max3sat,14,7,intermediate,uniform,6931791000808441607,inst_fea6eb32685ad1592df34a5394412e06666f5c71c5fb6e31ea6f360f55e7338e,oracle_m3_limit,audit_only
oracle,max3sat,16,7,high,uniform,6389973046226387090,inst_ecd7d9bdedba476d79ecb23bf936127ac70b900110999c1e9da3d80ba6f99d61,oracle_m3_limit,audit_only
oracle,max3sat,18,8,low,uniform,5622390522243406549,inst_049e84e7e284a32e77e46d4d3a30b6817893fdb40e815373d37c1b22f4796f3c,oracle_m3_limit,audit_only
oracle,max3sat,20,8,intermediate,uniform,1965075388441441766,inst_ce667ce89239bc323b5757196e691d4794fb82ddffa053edf14bc076ea7d5b33,oracle_m3_limit,audit_only
oracle,max3sat,21,8,intermediate,anchor_pair,232501432826097295,inst_4c3b5ba1caa07c6a8a87b5a7e89943c48fb64591e390ddcd965b187aa4007a1f,oracle_m3_limit,audit_only
oracle,max3sat,22,8,high,uniform,6861153144078832494,inst_086f145f3c0004ca1c7adf59eeb988495ebedf18cdfdc36074dd0375c0fea5b9,oracle_m3_limit,audit_only
oracle,max3sat,23,8,high,anchor_pair,2156625067330344820,inst_ae48b079a5506625ef83478f448cdacc98f7071b64c273ff1e9b7f4ac2577dbe,oracle_m3_limit,audit_only
oracle,max3sat,26,5,intermediate,uniform,2610147421230847195,inst_bbeffcbc0fc4e919bde301c81e33335d8ba3e511724fb0e7ba54fbe3969fdfa9,oracle_m3_limit,audit_only
oracle,max3sat,28,5,high,uniform,1055564434759525307,inst_68aa50b8be83552c6205291e645125dbd20626781ccb9e034919cdaeebe32493,oracle_m3_limit,audit_only
oracle,max3sat,30,6,low,uniform,7908149458684271634,inst_d2ee1792fa3f885e5abc381507af2bbf2b5704093098ebeb85d1d63a9a58a679,oracle_m3_limit,audit_only
oracle,max3sat,32,6,intermediate,uniform,5831704756557142493,inst_8e5b01f2f70527a86d8c722a669c195df7464e6c98bdf1e4b2ffea8b1dd9d99f,oracle_m3_limit,audit_only
oracle,max3sat,34,6,high,uniform,2914315489289476712,inst_2babe650bfb77a85cdef0c7d071c372b0bec8b7f3bba8676d592400cd7c58f9a,oracle_m3_limit,audit_only
oracle,max3sat,36,7,low,uniform,5907938848757389632,inst_3f57d94fa3afec7366bc0743f64aa6412e3d867c6e60520a6910b8dfcdee67cf,oracle_m3_limit,audit_only
