instance_id,family,tier,split,spec_version,generator_version,master_seed,instance_seed,regime,generator_mode,origin,raw_file,raw_sha256,canonical_file,canonical_sha256,config_sha256,generation_plan_sha256,code_commit,n,level,raw_term_count,canonical_term_count,canonical_degree,m3,cubic_density,cubics_per_variable,pair_shadow_size,pair_reuse_score,Delta2,pair_degree_mean,pair_degree_max,fraction_reused_pairs,fraction_cubics_with_shared_pair,overlap_graph_nodes,overlap_graph_edges,overlap_graph_components,overlap_graph_max_degree,coefficient_min,coefficient_max,coefficient_abs_max,coefficient_l1,positive_cubic_mass,negative_cubic_mass,positive_cubic_count,negative_cubic_count,canonical_cancellation_count,canonical_cancellation_mass,candidate_pair_count,tau2,tau2_status,tau2_lower_bound,tau2_upper_bound
inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e,cubic_spin_glass,oracle,train,benchmark_spec_v1.0,formal_data_v1,2026082701,5766305083228495218,low,anchor_pair,formal_oracle_generation,raw/cubic_spin_glass/inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e.json,f8df381e428abf5fb8622b46949fe78d3376f345a861b0ea30f62edae9b519dd,canonical/inst_01a9f1f2842d775846c878d43106d19ed43c1bfbe918e748b13470b82daaf78e.json,32ccb36f0eb875629c920d56ceae01cdff7b7a3aff201b442c17d836396d99b2,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,6,1,6,22,3,6,0.3,1.0,13,0.2777777777777778,3,1.3846153846153846,3,0.23076923076923078,1.0,6,7,1,3,-12.0,12.0,12.0,132.0,24.0,24.0,3,3,6,30.0,13,2,exact,2,2
inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084,cubic_spin_glass,qaoa,train,benchmark_spec_v1.0,formal_data_v1,2026082701,4091559668828080762,intermediate,uniform,formal_qaoa_generation,raw/cubic_spin_glass/inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084.json,3e49e8a906e634e05dac6a6b69663a027f8bb829ac2a061bdeceb47ec20de0f2,canonical/inst_023cdc8fe68bc010af3e4b8267ac107052b34378aa9702e637d696f06b410084.json,783a35cf5995af7829ddf8b3fe65708972440cf2b2af9f44bc776ef5664ed3ce,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,6,2,12,28,3,12,0.6,2.0,15,0.5833333333333333,4,2.4,4,0.9333333333333333,1.0,12,29,1,6,-8.0,16.0,16.0,182.0,40.0,56.0,5,7,17,142.0,15,5,exact,5,5
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,compilation,train,benchmark_spec_v1.0,formal_data_v1,2026082701,8809761004499508498,high,uniform,formal_compilation_generation,raw/max3sat/inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c.json,a3bcb52e302f245bb97b8573c523e7084f0002e37810c1f0232ebcff630cc378,canonical/inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c.json,a1befd6cf8f26980421356ccb84d01a9fa7200eb0a1b38373a539aa1fa0582e1,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,12,6,72,125,3,68,0.3090909090909091,5.666666666666667,66,0.6764705882352942,6,3.090909090909091,6,0.8787878787878788,1.0,68,271,1,14,-8.0,14.0,14.0,479.0,98.0,113.0,31,37,33,190.0,66,,bounded_pair_shadow_too_large,1,24
inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,cubic_spin_glass,compilation,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,3435302390869810894,high,uniform,formal_compilation_generation,raw/cubic_spin_glass/inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17.json,0495816baa303e92a6368a8a093db13eb551c22e051acf746dda56f8452ea9dc,canonical/inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17.json,3aa99210afffa8521716d2dc5e7ea13723c6511c05934137410f1966e674f376,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,20,4,80,208,3,80,0.07017543859649122,4.0,137,0.4291666666666667,4,1.7518248175182483,4,0.5109489051094891,0.975,80,144,3,7,-14.0,16.0,16.0,1324.0,272.0,368.0,34,46,68,836.0,137,,bounded_pair_shadow_too_large,1,37
inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc,max3sat,oracle,train,benchmark_spec_v1.0,formal_data_v1,2026082701,4203910183012446927,intermediate,anchor_pair,formal_oracle_generation,raw/max3sat/inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc.json,7dd7dcbb9ce74b6f3232370c86535ed8fd4c7433e87e44da27a265e686da90a6,canonical/inst_03fb9b57a6dce56e8aa5338559e7d2041bf1c85c0c8032542e21c29ca024e1dc.json,ce40184bd8b35fe11b7e7b9de6bacf344f56af6362a990fe5005ec1a351d16e8,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,5,4,20,18,3,5,0.5,1.0,9,0.4,3,1.6666666666666667,3,0.4444444444444444,1.0,5,8,1,4,-8.0,9.0,9.0,72.0,11.0,15.0,2,3,16,158.0,9,2,exact,2,2
inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,cubic_spin_glass,compilation,train,benchmark_spec_v1.0,formal_data_v1,2026082701,5602521004636297548,high,anchor_pair,formal_compilation_generation,raw/cubic_spin_glass/inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0.json,6d649d7e944b0348d1be6d3550016455cc58e970485f10dc3bba3fee3d3b5535,canonical/inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0.json,7dfd33170c1528ee428c1caff750c91927b65385ce6d9faf654a5792b24c71df,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,4,32,63,3,32,0.5714285714285714,4.0,28,0.7083333333333333,6,3.4285714285714284,6,1.0,1.0,32,145,1,12,-16.0,16.0,16.0,466.0,120.0,136.0,15,17,31,398.0,28,,bounded_pair_shadow_too_large,1,6
inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47,cubic_spin_glass,qaoa,test,benchmark_spec_v1.0,formal_data_v1,2026082701,3320431567548888733,low,uniform,formal_qaoa_generation,raw/cubic_spin_glass/inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47.json,391a08fa2e29f77667f6ece68c60ab1b55dc3610727892f8ccc5e00b697a27ef,canonical/inst_04204c7d862dcfca8e427f256f533fe1306d04cc8891110f908ad2c268e28c47.json,4bd56c3b45e42b613c0f4dc336e69ecaedf4f42784b30ae5dc875057da6787dc,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,6,1,6,23,3,6,0.3,1.0,12,0.33333333333333337,3,1.5,3,0.4166666666666667,1.0,6,7,1,3,-8.0,8.0,8.0,114.0,16.0,32.0,2,4,9,48.0,12,3,exact,3,3
inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3,max3sat,oracle,train,benchmark_spec_v1.0,formal_data_v1,2026082701,239195075876495626,low,anchor_pair,formal_oracle_generation,raw/max3sat/inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3.json,4baa812c61d61d37cba7e8010704ff6963be78031c680e3604758434550b109e,canonical/inst_0434852d0e4bbbb6edc67f1a83f9235d3f150efab1e9f63ee316ef80112685d3.json,f717f21730e62d67b39b91677320dfba11f3713e16658286cd03e6025e3f6b5b,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,6,2,12,21,3,6,0.3,1.0,11,0.38888888888888884,4,1.6363636363636365,4,0.36363636363636365,1.0,6,11,1,5,-11.0,9.0,11.0,79.0,16.0,8.0,4,2,8,46.0,11,2,exact,2,2
inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,cubic_spin_glass,compilation,validation,benchmark_spec_v1.0,formal_data_v1,2026082701,2216468725341450088,high,uniform,formal_compilation_generation,raw/cubic_spin_glass/inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14.json,b539ccce375604c68288bfa60dddd9a9310b81d5d840591f9be21d73e9aa9364,canonical/inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14.json,169ab6d940c4895cb0e3c20ee1d66dda8880bcfc03233c504dabb22f96802386,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,12,4,48,102,3,48,0.21818181818181817,4.0,58,0.5972222222222222,6,2.4827586206896552,6,0.6896551724137931,1.0,48,166,1,13,-14.0,16.0,16.0,690.0,168.0,216.0,21,27,44,606.0,58,,bounded_pair_shadow_too_large,1,18
inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9,max3sat,compilation,train,benchmark_spec_v1.0,formal_data_v1,2026082701,4157624505893989557,high,anchor_pair,formal_compilation_generation,raw/max3sat/inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9.json,7412cf23bb66870b53b48e3892a0b8261ff647de885b6208ecab10c0bf6c1cd4,canonical/inst_04a1b89230c5a6026d670ebcad2bd30c736104ed6ac28632205ec9169547e9f9.json,4f4dd0bbd271431ffc3f5c91b04afbc4c478c008e7ad259e2b0917098c1ebe97,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,ce881ad150a72354b843adb6c936e4afe1527655ac750bc3d89c0ae476cfc355,bee9c67f3f61ba16ad7ba5dbb0f1b3b151c68c16,8,6,48,31,3,8,0.14285714285714285,1.0,15,0.375,5,1.6,5,0.26666666666666666,1.0,8,18,1,7,-6.0,17.0,17.0,123.0,7.0,18.0,3,5,32,316.0,15,2,exact,2,2
