family,feasible_instances,infeasible_instances,representation,scheduled_instances,topology_id
cubic_spin_glass,90,0,all_native,90,all_to_all_reference
cubic_spin_glass,90,0,fully_quadratized,90,all_to_all_reference
cubic_spin_glass,90,0,matched_random_selective,90,all_to_all_reference
cubic_spin_glass,90,0,selective,90,all_to_all_reference
max3sat,90,0,all_native,90,all_to_all_reference
max3sat,90,0,fully_quadratized,90,all_to_all_reference
max3sat,90,0,matched_random_selective,90,all_to_all_reference
max3sat,90,0,selective,90,all_to_all_reference
cubic_spin_glass,54,36,all_native,90,device_sparse_v1
cubic_spin_glass,9,81,fully_quadratized,90,device_sparse_v1
cubic_spin_glass,39,51,matched_random_selective,90,device_sparse_v1
cubic_spin_glass,39,51,selective,90,device_sparse_v1
max3sat,54,36,all_native,90,device_sparse_v1
max3sat,12,78,fully_quadratized,90,device_sparse_v1
max3sat,18,72,matched_random_selective,90,device_sparse_v1
max3sat,18,72,selective,90,device_sparse_v1
cubic_spin_glass,65,25,matched_random_selective,90,heavy_hex_d3_19
cubic_spin_glass,65,25,selective,90,heavy_hex_d3_19
max3sat,55,35,matched_random_selective,90,heavy_hex_d3_19
max3sat,55,35,selective,90,heavy_hex_d3_19
cubic_spin_glass,39,51,matched_random_selective,90,line_12
cubic_spin_glass,39,51,selective,90,line_12
max3sat,18,72,matched_random_selective,90,line_12
max3sat,18,72,selective,90,line_12
cubic_spin_glass,39,51,matched_random_selective,90,ring_12
cubic_spin_glass,39,51,selective,90,ring_12
max3sat,18,72,matched_random_selective,90,ring_12
max3sat,18,72,selective,90,ring_12
