family,instance_id,n_design_draws,representation,routing_overhead,swap_count,topology_id,two_qubit_depth,two_qubit_gates
cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,1,all_native,0.0,0.0,all_to_all_reference,254.0,320.0
cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,1,fully_quadratized,0.0,0.0,all_to_all_reference,94.0,546.0
cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,5,matched_random_selective,0.0,0.0,all_to_all_reference,240.2,392.0
cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,1,selective,0.0,0.0,all_to_all_reference,167.0,384.0
cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,1,all_native,0.0,0.0,all_to_all_reference,115.0,128.0
cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,1,fully_quadratized,0.0,0.0,all_to_all_reference,40.0,136.0
cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,5,matched_random_selective,0.0,0.0,all_to_all_reference,104.6,153.2
cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,1,selective,0.0,0.0,all_to_all_reference,80.0,134.0
cubic_spin_glass,inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,1,all_native,0.0,0.0,all_to_all_reference,158.0,192.0
cubic_spin_glass,inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,1,fully_quadratized,0.0,0.0,all_to_all_reference,64.0,262.0
cubic_spin_glass,inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,5,matched_random_selective,0.0,0.0,all_to_all_reference,147.4,249.2
cubic_spin_glass,inst_045300c745f73b669876b3afdc81d7417e52170ce23c2a4519e917c0df3a8b14,1,selective,0.0,0.0,all_to_all_reference,94.0,228.0
cubic_spin_glass,inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26,1,all_native,0.0,0.0,all_to_all_reference,28.0,32.0
cubic_spin_glass,inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26,1,fully_quadratized,0.0,0.0,all_to_all_reference,32.0,74.0
cubic_spin_glass,inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26,5,matched_random_selective,0.0,0.0,all_to_all_reference,28.0,32.0
cubic_spin_glass,inst_05aaf3936982b612481791b8cbe696e666dbac6b7c6371ca8f9309f2a7262b26,1,selective,0.0,0.0,all_to_all_reference,28.0,32.0
cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,1,all_native,0.0,0.0,all_to_all_reference,58.0,80.0
cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,1,fully_quadratized,0.0,0.0,all_to_all_reference,52.0,196.0
cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,5,matched_random_selective,0.0,0.0,all_to_all_reference,58.0,80.0
cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,1,selective,0.0,0.0,all_to_all_reference,58.0,80.0
cubic_spin_glass,inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3,1,all_native,0.0,0.0,all_to_all_reference,126.0,160.0
cubic_spin_glass,inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3,1,fully_quadratized,0.0,0.0,all_to_all_reference,62.0,224.0
cubic_spin_glass,inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3,5,matched_random_selective,0.0,0.0,all_to_all_reference,126.0,174.4
cubic_spin_glass,inst_09df17a7dbe096483467d57e9c9d266ad5eb41ac3c025e192b9df142b00904b3,1,selective,0.0,0.0,all_to_all_reference,91.0,176.0
cubic_spin_glass,inst_0acf907b55a053afe21f59b938b915b2995d1239482407859acb7f7817e7ba44,1,all_native,0.0,0.0,all_to_all_reference,39.0,48.0
