design_id,family,instance_id,random_rep_seed,representation,routing_overhead,source_csv_rows,swap_count,topology_id,two_qubit_depth,two_qubit_gates
design_633d3f1691ba8dd28a0f,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,,all_native,0.0,"82,84,86,88,90",0.0,all_to_all_reference,254.0,320.0
design_e4e966e266b3a97a468e,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,,fully_quadratized,0.0,"92,94,96,98,100",0.0,all_to_all_reference,94.0,546.0
design_afe825dee622c85debb1,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,2026082711,matched_random_selective,0.0,"112,114,116,118,120",0.0,all_to_all_reference,232.0,388.0
design_a51085bbe0c5baf49287,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,2026082712,matched_random_selective,0.0,"122,124,126,128,130",0.0,all_to_all_reference,247.0,400.0
design_8ddc8a54f656ec1c0edb,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,2026082713,matched_random_selective,0.0,"132,134,136,138,140",0.0,all_to_all_reference,256.0,390.0
design_ad7f36f9fc273c8eb275,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,2026082714,matched_random_selective,0.0,"142,144,146,148,150",0.0,all_to_all_reference,248.0,390.0
design_1f0183adb9dfb77407ba,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,2026082715,matched_random_selective,0.0,"152,154,156,158,160",0.0,all_to_all_reference,218.0,392.0
design_e8cec828436b9d406881,cubic_spin_glass,inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,,selective,0.0,"102,104,106,108,110",0.0,all_to_all_reference,167.0,384.0
design_774699cb9c98f42c3ca7,cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,,all_native,0.0,"162,164,166,168,170",0.0,all_to_all_reference,115.0,128.0
design_65009d4f2465dea1d67f,cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,,fully_quadratized,0.0,"172,174,176,178,180",0.0,all_to_all_reference,40.0,136.0
design_699375292d7cee22cb5e,cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,2026082711,matched_random_selective,0.0,"192,194,196,198,200",0.0,all_to_all_reference,113.0,154.0
design_c480affa1c4aee356da8,cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,2026082712,matched_random_selective,0.0,"202,204,206,208,210",0.0,all_to_all_reference,105.0,160.0
design_905ea1d1d5089737a29b,cubic_spin_glass,inst_041b2d91ccdc07271608f44a7f021336dab5e35d5c3753501859d4ba17b039f0,2026082713,matched_random_selective,0.0,"212,214,216,218,220",0.0,all_to_all_reference,100.0,154.0
