analysis_config_hash,budget_key,budget_mode,canonical_cubic_sparsity,classification,code_commit,comparison,config_hash,control_mean,control_observation_count,effect,effect_ci95_high,effect_ci95_low,effect_tolerance,failure_kind,family,instance_id,manifest_hash,metric,n_original_diagnostic,pair_reuse_bin,pair_reuse_score,paired_observation_count,selected_mean,selected_observation_count,sign_balance_diagnostic,source_tier,sparsity_bin,split,status,topology_id,uncertainty_rule
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,80.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,20,low,0.1333333333333333,5,80.0,5,0.55,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,58.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,20,low,0.1333333333333333,5,58.0,5,0.55,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,20,low,0.1333333333333333,5,0.0,5,0.55,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,20,low,0.1333333333333333,0,,5,0.55,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,20,low,0.1333333333333333,0,,5,0.55,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,cubic_spin_glass,inst_072f29754f95706f7e005ffc71c91edbc139dd5aa24177bed97dbe718ea7f2bf,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,20,low,0.1333333333333333,0,,5,0.55,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.5714285714285714,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,160.4,25,0.1521197007481297,0.1521197007481297,0.1521197007481297,0.05,,cubic_spin_glass,inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,8,high,0.7083333333333333,5,136.0,5,0.375,compilation,high,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.5714285714285714,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,107.6,25,0.30297397769516726,0.30297397769516726,0.30297397769516726,0.05,,cubic_spin_glass,inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,8,high,0.7083333333333333,5,75.0,5,0.375,compilation,high,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.5714285714285714,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,8,high,0.7083333333333333,5,0.0,5,0.375,compilation,high,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.5714285714285714,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,289.32,25,0.16838078112159707,0.19686054678260306,0.13990101546059108,0.05,,cubic_spin_glass,inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,8,high,0.7083333333333333,5,240.6,5,0.375,compilation,high,test,pass,device_sparse_v1,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.5714285714285714,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,199.44,25,0.27469602738593224,0.30504637118119476,0.2443456835906697,0.05,,cubic_spin_glass,inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,8,high,0.7083333333333333,5,144.6,5,0.375,compilation,high,test,pass,device_sparse_v1,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.5714285714285714,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,128.92,25,0.1885878277853199,0.25300819219685394,0.12416746337378588,0.05,,cubic_spin_glass,inst_13030ed96c3ca324374d60f8d25452134295fce62c10aca2ac1f801aa32741cc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,8,high,0.7083333333333333,5,104.6,5,0.375,compilation,high,test,pass,device_sparse_v1,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,80.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,20,low,0.09999999999999998,5,80.0,5,0.6,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,43.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,20,low,0.09999999999999998,5,43.0,5,0.6,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,little_effect,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,25,0.0,0.0,0.0,0.05,,cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,20,low,0.09999999999999998,5,0.0,5,0.6,compilation,low,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,20,low,0.09999999999999998,0,,5,0.6,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,20,low,0.09999999999999998,0,,5,0.6,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.017543859649122806,not_estimable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,,25,,,,0.05,width_exceeds_frozen_sparse_topology,cubic_spin_glass,inst_16c9f5951f44e0cdcb5bd2aaf536929247d827649204d1d7616835284c4f9cdc,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,routing_overhead,20,low,0.09999999999999998,0,,5,0.6,compilation,low,test,expected_infeasible,device_sparse_v1,not_estimable_expected_width_infeasible
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.09545454545454546,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,160.0,25,0.1,0.1,0.1,0.05,,max3sat,inst_1fd1e3af188a3ea1adf4c52be504c18998f9987176e8145c96535d8607f79e50,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_gates,12,intermediate,0.39682539682539686,5,144.0,5,0.6666666666666666,compilation,intermediate,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,0.09545454545454546,help,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,selective_vs_matched_random_selective,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,71.8,25,0.24791086350974928,0.24791086350974928,0.24791086350974928,0.05,,max3sat,inst_1fd1e3af188a3ea1adf4c52be504c18998f9987176e8145c96535d8607f79e50,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,compiled_two_qubit_depth,12,intermediate,0.39682539682539686,5,54.0,5,0.6666666666666666,compilation,intermediate,test,pass,all_to_all_reference,paired_normal_interval_by_transpiler_seed
