analysis_config_hash,budget_key,budget_mode,code_commit,config_hash,effect_ci95_high,effect_ci95_low,family,help_count,help_fraction,hurt_count,hurt_fraction,instance_count,little_effect_count,little_effect_fraction,manifest_hash,mean_canonical_cubic_sparsity,mean_effect,mean_pair_reuse_score,metric,pair_reuse_bin,source_tier,sparsity_bin,status,topology_id,uncertainty_unit_count,view
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.3112586298459904,0.2774296335634626,cubic_spin_glass,2,1.0,0,0.0,2,0,0.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.5714285714285714,0.2943441317047265,0.7135416666666666,compiled_two_qubit_depth,high,compilation,high,pass,all_to_all_reference,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,2,2,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.2857142857142857,0.0,0.47916666666666663,compiled_two_qubit_depth,intermediate,compilation,high,pass,all_to_all_reference,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.29235537190082644,0.29235537190082644,cubic_spin_glass,1,1.0,0,0.0,1,0,0.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.11428571428571428,0.29235537190082644,0.5208333333333333,compiled_two_qubit_depth,high,compilation,intermediate,pass,all_to_all_reference,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.4204443371181614,0.003899962356210901,cubic_spin_glass,2,0.6666666666666666,0,0.0,3,1,0.3333333333333333,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.12207792207792208,0.21217214973718615,0.421875,compiled_two_qubit_depth,intermediate,compilation,intermediate,pass,all_to_all_reference,3,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.14285714285714285,0.0,0.20833333333333337,compiled_two_qubit_depth,low,compilation,intermediate,pass,all_to_all_reference,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.31711145996860285,0.31711145996860285,cubic_spin_glass,1,1.0,0,0.0,1,0,0.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.07017543859649122,0.31711145996860285,0.5166666666666666,compiled_two_qubit_depth,high,compilation,low,pass,all_to_all_reference,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,3,3,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.024895572263993315,0.0,0.3152777777777778,compiled_two_qubit_depth,intermediate,compilation,low,pass,all_to_all_reference,3,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,5,5,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.029355206197311457,0.0,0.1522222222222222,compiled_two_qubit_depth,low,compilation,low,pass,all_to_all_reference,5,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.341503347040065,0.06870679178568959,cubic_spin_glass,2,1.0,0,0.0,2,0,0.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.5714285714285714,0.2051050694128773,0.7135416666666666,compiled_two_qubit_depth,high,compilation,high,pass,device_sparse_v1,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,2,2,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.2857142857142857,0.0,0.47916666666666663,compiled_two_qubit_depth,intermediate,compilation,high,pass,device_sparse_v1,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.14285714285714285,0.0,0.33333333333333337,compiled_two_qubit_depth,intermediate,compilation,intermediate,pass,device_sparse_v1,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.14285714285714285,0.0,0.20833333333333337,compiled_two_qubit_depth,low,compilation,intermediate,pass,device_sparse_v1,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.05454545454545454,0.0,0.19444444444444442,compiled_two_qubit_depth,low,compilation,low,pass,device_sparse_v1,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.21497842694850183,-0.041694705036351046,cubic_spin_glass,1,0.5,0,0.0,2,1,0.5,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.5714285714285714,0.08664186095607539,0.7135416666666666,compiled_two_qubit_gates,high,compilation,high,pass,all_to_all_reference,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.0,0.0,cubic_spin_glass,0,0.0,0,0.0,2,2,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.2857142857142857,0.0,0.47916666666666663,compiled_two_qubit_gates,intermediate,compilation,high,pass,all_to_all_reference,2,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.021304926764314173,0.021304926764314173,cubic_spin_glass,0,0.0,0,0.0,1,1,1.0,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.11428571428571428,0.021304926764314173,0.5208333333333333,compiled_two_qubit_gates,high,compilation,intermediate,pass,all_to_all_reference,1,family
e3ade62c2d1568a6686439927f821e8d4321e46286156daf59fd75b31c85a222,not_applicable,not_applicable,fa5bbbbb0644b007176fe5727d36f66b969e5c8b,9d124ad72c0fe2b841fbfc927ec45c35cb413a6a0e01baada17f1025709d315c,0.08989427720799473,-0.01105688468238921,cubic_spin_glass,1,0.3333333333333333,0,0.0,3,2,0.6666666666666666,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,0.12207792207792208,0.03941869626280276,0.421875,compiled_two_qubit_gates,intermediate,compilation,intermediate,pass,all_to_all_reference,3,family
