path,sha256,size_bytes
assumptions_and_decisions_v2.md,be300b6b179a7714a3b6914879d8ce373f8512fadbe9a1dee7e2f4654cbfabe3,458
evidence/FIBRE_V2_E1_AUDIT.json,015889a5e8ef2ff4e86e99020a35514860132126d4e8c1f6c18221a1fe0be01a,771
evidence/FIBRE_V2_E1_AUDIT.sha256,7924e9005d3a8619d5ac74cdfcc57a6217523bbec9c5113b77f68ad77a562a95,65
evidence/FIBRE_V2_E1_CONSOLE_WINDOWS.txt,9c796cc4794e9c70f0253c51901a4de62b8585110484881df970b19694c153b1,15930
evidence/FIBRE_V2_E2_AUDIT.json,811623012765f09b579defbd25d0a63d671785c3ab5b76d1a8ce4d562ed7e278,772
evidence/FIBRE_V2_E2_AUDIT.sha256,4171c289d575d6ed5318bf15733f4b8f26fc950a449e4a43cb7249317d91915c,65
evidence/FIBRE_V2_E2_CONSOLE_WINDOWS.txt,4ca1e257f49631ddc0acc1c86ab844bc2c80af1803cd012862542eb0a77e1560,9152
evidence/FIBRE_V2_E3_AUDIT.json,44e1011318b0a630b9f5fc21ce0924b9937754c3e00b6a65e3c803042ad1e002,768
evidence/FIBRE_V2_E3_AUDIT.sha256,a51e0a9d1387182673989c2712253c1682af526e69c007d661cffc4bf65c9c16,65
evidence/FIBRE_V2_E3_CONSOLE_WINDOWS.txt,c7add904811f85272e949f0a91b64b2ceb2799818793db2d63ee5d6f97ae694d,6786
evidence/FIBRE_V2_E4_AUDIT.json,9d8ea0c44e3e2aaec1062c75f3b9e240f170465a9bd15270cac4092118e6bfc6,773
evidence/FIBRE_V2_E4_AUDIT.sha256,4e75d7fee0768a8b93a10ad973cb684515b4ffa782092a218276841e82e5726c,65
evidence/FIBRE_V2_E4_CONSOLE_WINDOWS.txt,b246b82d940f9170ce0eef8174ebcb9fac425bbc4de0887add63eaceace78e36,10278
evidence/FIBRE_V2_E5_AUDIT.json,a83fe9f8f31d90f51ae13645dbd83d2f7e3955ef528566b42aaa49a4e594a5c8,670
evidence/FIBRE_V2_E5_AUDIT.sha256,2561b187f7e16309d1cadb64e4f61fa54fa723bec44d4f26dd90ac8a79510f4a,65
evidence/FIBRE_V2_E6_AUDIT.json,a60a37f8b3240382e8dd216e40c29878e779efd465fbf26588fc612b240a5b73,784
evidence/FIBRE_V2_E6_AUDIT.sha256,3663c70dcd831c0a5b33aac7e0191ae194c2677cb99dc1f0e9cf2942fe649691,65
FIBRE_E1_E6_V2_COMPLETION_AUDIT.json,9e47749b5aeb78ab4b9e18db9dc142891920009422acbbe3ec6d7f19ca98a366,1534
FIBRE_E1_E6_V2_COMPLETION_AUDIT.sha256,752def546c72e9b814eb1d7b85bdf0f64a6d0dc6eae592ad4e57ff369f8aae9d,65
figures/figure_e2_resources.pdf,5e4a9beca4d252bfad652dc9f16443c47b9dede192fbecb1c410c04836fbbba6,75018
figures/figure_e2_resources.sha256,a0e57c849eaffec8d6dae20511a59b0f38d42eca0d2001cfd6644bf543bc50e8,65
figures/figure_e3_equal_2q_budget.pdf,a8cc42d6a10b0aefe2227a8f82585a90aa8eb7f507a4bc60f412a37d929e3255,74409
figures/figure_e3_equal_2q_budget.sha256,936335fd9aede2211dc286bea080df74e59875f2332343d2bd7a64fa95c4a3f0,65
