event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.00045029999455437064,0,0,1,0.0,0.34921875,0.34921875
incumbent_update,0.003938300011213869,21,5,44,0.010677083333333334,0.3294270833333333,0.31875
incumbent_update,0.006123200000729412,33,10,60,0.011458333333333333,0.32083333333333336,0.309375
incumbent_update,0.009476899984292686,53,15,100,0.012239583333333333,0.32083333333333336,0.30859375
incumbent_update,0.011285800021141768,63,18,118,0.013802083333333333,0.3138020833333333,0.3
incumbent_update,0.011681300005875528,65,19,120,0.013802083333333333,0.29739583333333336,0.28359375
incumbent_update,0.01912170002469793,102,29,191,0.016145833333333335,0.27317708333333335,0.25703125
node_interval,0.05478379997657612,256,93,397,0.019791666666666666,0.27317708333333335,0.25338541666666664
node_interval,0.11403769999742508,512,180,817,0.022135416666666668,0.27317708333333335,0.25104166666666666
node_interval,0.1723758999723941,768,380,785,0.028125,0.27317708333333335,0.24505208333333334
node_interval,0.24285179999424145,1024,495,1093,0.03046875,0.27317708333333335,0.24270833333333333
node_interval,0.3099923999980092,1280,597,1453,0.03046875,0.27317708333333335,0.24270833333333333
node_interval,0.37506410002242774,1536,698,1817,0.03046875,0.27317708333333335,0.24270833333333333
node_interval,0.4377173000248149,1792,915,1717,0.0328125,0.27317708333333335,0.24036458333333333
node_interval,0.4885952000040561,2048,1171,1461,0.0328125,0.27317708333333335,0.24036458333333333
node_interval,0.5400398999918252,2304,1426,1209,0.036458333333333336,0.27317708333333335,0.23671875
node_interval,0.6027344000176527,2560,1548,1489,0.038802083333333334,0.27317708333333335,0.234375
node_interval,0.6684116999967955,2816,1667,1781,0.038802083333333334,0.27317708333333335,0.234375
node_interval,0.7362536999862641,3072,1811,1973,0.04114583333333333,0.27317708333333335,0.23203125
node_interval,0.7933769000228494,3328,2067,1717,0.04114583333333333,0.27317708333333335,0.23203125
node_interval,0.8545140000060201,3584,2323,1461,0.04114583333333333,0.27317708333333335,0.23203125
node_interval,0.9132557999691926,3840,2579,1205,0.04114583333333333,0.27317708333333335,0.23203125
node_interval,0.9682068999973126,4096,2835,949,0.04192708333333333,0.27317708333333335,0.23125
node_interval,1.0289929999853484,4352,3019,981,0.047135416666666666,0.27317708333333335,0.22604166666666667
node_interval,1.0915638000005856,4608,3243,853,0.049479166666666664,0.27317708333333335,0.22369791666666666
node_interval,1.1522648999816738,4864,3499,597,0.049479166666666664,0.27317708333333335,0.22369791666666666
node_interval,1.2187077999697067,5120,3755,341,0.049479166666666664,0.27317708333333335,0.22369791666666666
node_interval,1.2864349000155926,5376,4011,85,0.0578125,0.27317708333333335,0.21536458333333333
proof_complete,1.3109105000039563,5461,4096,0,0.27317708333333335,0.27317708333333335,0.0
