event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0003969999961555004,0,0,1,0.0,0.3140625,0.3140625
incumbent_update,0.0036121999728493392,13,5,20,0.009895833333333333,0.30520833333333336,0.2953125
incumbent_update,0.0043043000041507185,17,6,28,0.009895833333333333,0.30520833333333336,0.2953125
incumbent_update,0.008630700001958758,39,11,74,0.010677083333333334,0.30130208333333336,0.290625
incumbent_update,0.009150700003374368,42,12,79,0.010677083333333334,0.30130208333333336,0.290625
incumbent_update,0.010550999955739826,48,14,89,0.010677083333333334,0.27317708333333335,0.2625
incumbent_update,0.011117699963506311,51,15,94,0.010677083333333334,0.2638020833333333,0.253125
incumbent_update,0.012589799996931106,55,16,102,0.010677083333333334,0.25677083333333334,0.24609375
node_interval,0.06244559999322519,256,122,281,0.021354166666666667,0.25677083333333334,0.23541666666666666
node_interval,0.12093370000366122,512,307,309,0.0296875,0.25677083333333334,0.22708333333333333
node_interval,0.1773304999805987,768,481,381,0.0296875,0.25677083333333334,0.22708333333333333
node_interval,0.23673979996237904,1024,719,197,0.03802083333333333,0.25677083333333334,0.21875
node_interval,0.2983556999824941,1280,939,85,0.04635416666666667,0.25677083333333334,0.21041666666666667
proof_complete,0.3186202999786474,1365,1024,0,0.25677083333333334,0.25677083333333334,0.0
