event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006929999799467623,0,0,1,0.0,0.4359375,0.4359375
incumbent_update,0.005473299999721348,25,8,44,0.009895833333333333,0.41770833333333335,0.4078125
incumbent_update,0.02374869998311624,114,28,231,0.010677083333333334,0.4114583333333333,0.40078125
incumbent_update,0.024759399995673448,119,30,238,0.010677083333333334,0.39505208333333336,0.384375
incumbent_update,0.02689280000049621,129,33,256,0.010677083333333334,0.37864583333333335,0.36796875
incumbent_update,0.03218609996838495,146,42,271,0.012239583333333333,0.37552083333333336,0.36328125
incumbent_update,0.03311489999759942,148,43,273,0.012239583333333333,0.36614583333333334,0.35390625
incumbent_update,0.047032799979206175,204,64,357,0.018229166666666668,0.36302083333333335,0.34479166666666666
node_interval,0.06249069998739287,256,91,405,0.018229166666666668,0.36302083333333335,0.34479166666666666
node_interval,0.12195589998736978,512,169,861,0.018229166666666668,0.36302083333333335,0.34479166666666666
node_interval,0.1863411000231281,768,302,1097,0.019010416666666665,0.36302083333333335,0.34401041666666665
incumbent_update,0.20659199997317046,845,342,1168,0.019010416666666665,0.35885416666666664,0.33984375
node_interval,0.2574669999885373,1024,423,1381,0.019010416666666665,0.35885416666666664,0.33984375
incumbent_update,0.2602156000211835,1034,429,1387,0.019010416666666665,0.3494791666666667,0.33046875
incumbent_update,0.26869280001847073,1059,441,1414,0.019791666666666666,0.33307291666666666,0.31328125
node_interval,0.33558269997593015,1280,585,1501,0.020572916666666666,0.33307291666666666,0.3125
incumbent_update,0.34106240002438426,1294,595,1503,0.020572916666666666,0.32526041666666666,0.3046875
node_interval,0.41054940002504736,1536,693,1837,0.021354166666666667,0.32526041666666666,0.30390625
node_interval,0.47538790001999587,1792,770,2297,0.021354166666666667,0.32526041666666666,0.30390625
incumbent_update,0.5427602999843657,2016,859,2613,0.021354166666666667,0.3143229166666667,0.29296875
node_interval,0.5523390999878757,2048,873,2653,0.022135416666666668,0.3143229166666667,0.2921875
incumbent_update,0.6181560999830253,2267,1052,2594,0.022135416666666668,0.3033854166666667,0.28125
incumbent_update,0.6189884999766946,2268,1053,2593,0.022135416666666668,0.29401041666666666,0.271875
node_interval,0.631051899981685,2304,1089,2557,0.0265625,0.29401041666666666,0.2674479166666667
node_interval,0.7059855000115931,2560,1206,2857,0.0265625,0.29401041666666666,0.2674479166666667
node_interval,0.7857801999780349,2816,1323,3157,0.0265625,0.29401041666666666,0.2674479166666667
node_interval,0.8604418999748304,3072,1490,3257,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,0.9313257000176236,3328,1659,3349,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.00729149999097,3584,1797,3565,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.0843437999719754,3840,1967,3653,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.1593914999975823,4096,2114,3833,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.2318196999840438,4352,2252,4049,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.3075293999863788,4608,2391,4261,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.4081893999828026,4864,2546,4409,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.5068758999696001,5120,2696,4577,0.02734375,0.29401041666666666,0.26666666666666666
node_interval,1.5855300999828614,5376,2870,4649,0.028125,0.29401041666666666,0.26588541666666665
node_interval,1.6624084999784827,5632,3052,4689,0.028125,0.29401041666666666,0.26588541666666665
node_interval,1.7446943999966606,5888,3233,4733,0.02890625,0.29401041666666666,0.26510416666666664
node_interval,1.8428336000069976,6144,3422,4745,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,1.9204120999784209,6400,3569,4925,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.0304583000252023,6656,3714,5113,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.111032899993006,6912,3858,5305,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.1885814999695867,7168,3961,5661,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.303505200019572,7424,4072,5985,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.3820925999898463,7680,4209,6205,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.454772899975069,7936,4342,6441,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.5291912999819033,8192,4447,6789,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.6033457000157796,8448,4539,7189,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.6715125999762677,8704,4639,7557,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.7578816000022925,8960,4743,7909,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.854470400023274,9216,4889,8093,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,2.9457287000259385,9472,5037,8269,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,3.028358899988234,9728,5159,8549,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,3.105524000013247,9984,5281,8829,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,3.186483199999202,10240,5418,9049,0.0296875,0.29401041666666666,0.2643229166666667
node_interval,3.2690315999789163,10496,5609,9053,0.03046875,0.29401041666666666,0.2635416666666667
node_interval,3.3341102999984287,10752,5792,9089,0.03046875,0.29401041666666666,0.2635416666666667
node_interval,3.412699899985455,11008,5992,9057,0.03046875,0.29401041666666666,0.2635416666666667
node_interval,3.4763023999985307,11264,6184,9057,0.03046875,0.29401041666666666,0.2635416666666667
node_interval,3.541351100022439,11520,6403,8949,0.03046875,0.29401041666666666,0.2635416666666667
node_interval,3.6255767000257038,11776,6611,8759,0.034895833333333334,0.29401041666666666,0.2591145833333333
node_interval,3.7291803000262007,12032,6777,8661,0.034895833333333334,0.29401041666666666,0.2591145833333333
node_interval,3.8203698999714106,12288,6985,8494,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,3.8843412999995053,12544,7199,8301,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,3.9546007000026293,12800,7370,8173,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.020798399986234,13056,7553,8025,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.086466100008693,13312,7732,7892,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.147282499994617,13568,7919,7748,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.21074489998864,13824,8133,7556,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.2763916999683715,14080,8296,7442,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.390220800007228,14336,8436,7350,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.457722700026352,14592,8597,7241,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.555854999984149,14848,8794,7077,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.625429500010796,15104,8958,6962,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.685444600007031,15360,9125,6833,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.762974100012798,15616,9290,6712,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.846139499975834,15872,9460,6595,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.915205299970694,16128,9650,6463,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,4.977585599990562,16384,9832,6363,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,5.042647399997804,16640,9995,6307,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,5.130452100012917,16896,10169,6234,0.03567708333333333,0.29401041666666666,0.25833333333333336
node_interval,5.203858699998818,17152,10366,6105,0.036458333333333336,0.29401041666666666,0.25755208333333335
node_interval,5.282582100015134,17408,10561,5971,0.036458333333333336,0.29401041666666666,0.25755208333333335
node_interval,5.367407399986405,17664,10758,5833,0.036458333333333336,0.29401041666666666,0.25755208333333335
node_interval,5.450728699972387,17920,10968,5651,0.03723958333333333,0.29401041666666666,0.25677083333333334
node_interval,5.524654700013343,18176,11176,5463,0.03723958333333333,0.29401041666666666,0.25677083333333334
node_interval,5.617916000017431,18432,11384,5296,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,5.704125999996904,18688,11561,5154,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,5.771252900012769,18944,11757,4997,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,5.853878599999007,19200,11942,4849,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,5.925111500022467,19456,12134,4725,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.0237273999955505,19712,12312,4610,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.105987799994182,19968,12457,4514,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.2033032000181265,20224,12613,4434,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.291982700000517,20480,12758,4401,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.373494800005574,20736,12904,4305,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.45259449997684,20992,13050,4228,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.541459299973212,21248,13195,4203,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.64839759998722,21504,13360,4091,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.741890600009356,21760,13548,3947,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.828996399999596,22016,13726,3825,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.918482800014317,22272,13886,3781,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,6.999084400013089,22528,14059,3660,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.079435100022238,22784,14208,3562,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.1657499999855645,23040,14357,3504,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.23778859997401,23296,14481,3472,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.3007256999844685,23552,14588,3458,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.362222399970051,23808,14708,3439,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.443322199978866,24064,14849,3392,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.523390899994411,24320,14993,3356,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.598964200005867,24576,15140,3258,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.679828699969221,24832,15294,3180,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.759043099998962,25088,15424,3165,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.8202887999941595,25344,15548,3126,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.885120099992491,25600,15693,3032,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,7.966579700005241,25856,15843,2955,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.051819399988744,26112,15985,2930,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.140367700019851,26368,16120,2867,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.20286949997535,26624,16253,2868,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.268004800018389,26880,16427,2782,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.334317000000738,27136,16601,2698,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.409467099991161,27392,16772,2620,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.486434999969788,27648,16964,2496,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.5618506000028,27904,17136,2413,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.628474099969026,28160,17288,2368,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.693266100017354,28416,17428,2353,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.761018500023056,28672,17579,2307,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.823885800025892,28928,17729,2268,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.885775699978694,29184,17881,2237,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,8.948674299987033,29440,18047,2180,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,9.021008000010625,29696,18220,2107,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,9.084733100025915,29952,18381,2060,0.03802083333333333,0.29401041666666666,0.2559895833333333
node_interval,9.15600329998415,30208,18593,1886,0.038802083333333334,0.29401041666666666,0.2552083333333333
node_interval,9.218410299974494,30464,18809,1690,0.038802083333333334,0.29401041666666666,0.2552083333333333
