event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005116999964229763,0,0,1,0.0,0.41484375,0.41484375
incumbent_update,0.004753199988044798,25,8,44,0.010677083333333334,0.39036458333333335,0.3796875
incumbent_update,0.01771560002816841,83,27,142,0.014583333333333334,0.3684895833333333,0.35390625
incumbent_update,0.02031580003676936,95,33,154,0.015364583333333333,0.35052083333333334,0.33515625
node_interval,0.06544919998850673,256,90,409,0.021354166666666667,0.35052083333333334,0.32916666666666666
node_interval,0.1288485000259243,512,223,645,0.022135416666666668,0.35052083333333334,0.32838541666666665
incumbent_update,0.15085720003116876,591,274,678,0.022916666666666665,0.34869791666666666,0.32578125
incumbent_update,0.1654343000263907,645,310,696,0.023697916666666666,0.34010416666666665,0.31640625
incumbent_update,0.1753823999897577,684,332,725,0.023697916666666666,0.3307291666666667,0.30703125
node_interval,0.19499230000656098,768,366,841,0.024479166666666666,0.3307291666666667,0.30625
node_interval,0.2654018999892287,1024,469,1197,0.026041666666666668,0.3307291666666667,0.3046875
node_interval,0.3403834000346251,1280,587,1493,0.0296875,0.3307291666666667,0.30104166666666665
incumbent_update,0.4040674000279978,1506,689,1763,0.03046875,0.32057291666666665,0.29010416666666666
node_interval,0.4127572000143118,1536,719,1733,0.03046875,0.32057291666666665,0.29010416666666666
node_interval,0.4855278999893926,1792,909,1741,0.03046875,0.32057291666666665,0.29010416666666666
node_interval,0.5592380000161938,2048,1076,1841,0.03046875,0.32057291666666665,0.29010416666666666
node_interval,0.6331117000081576,2304,1243,1941,0.03046875,0.32057291666666665,0.29010416666666666
node_interval,0.7094932000036351,2560,1437,1933,0.03203125,0.32057291666666665,0.28854166666666664
node_interval,0.7837148000253364,2816,1621,1965,0.0328125,0.32057291666666665,0.2877604166666667
node_interval,0.8606183000374585,3072,1759,2181,0.0328125,0.32057291666666665,0.2877604166666667
node_interval,0.9468050000141375,3328,1897,2397,0.0328125,0.32057291666666665,0.2877604166666667
node_interval,1.0274509000009857,3584,2042,2585,0.0328125,0.32057291666666665,0.2877604166666667
node_interval,1.1022726999945007,3840,2205,2701,0.0328125,0.32057291666666665,0.2877604166666667
node_interval,1.1829484000336379,4096,2348,2897,0.0328125,0.32057291666666665,0.2877604166666667
node_interval,1.2660375999985263,4352,2478,3145,0.03307291666666667,0.32057291666666665,0.2875
node_interval,1.3459661999950185,4608,2642,3257,0.034375,0.32057291666666665,0.28619791666666666
node_interval,1.4308955000014976,4864,2796,3409,0.03671875,0.32057291666666665,0.2838541666666667
node_interval,1.5155424000113271,5120,2961,3517,0.0375,0.32057291666666665,0.2830729166666667
node_interval,1.6000338000012562,5376,3107,3701,0.03828125,0.32057291666666665,0.28229166666666666
node_interval,1.6932951000053436,5632,3321,3613,0.038802083333333334,0.32057291666666665,0.28177083333333336
node_interval,1.779378800012637,5888,3529,3549,0.038802083333333334,0.32057291666666665,0.28177083333333336
node_interval,1.8711448999820277,6144,3710,3593,0.038802083333333334,0.32057291666666665,0.28177083333333336
node_interval,1.9548699000151828,6400,3914,3545,0.038802083333333334,0.32057291666666665,0.28177083333333336
node_interval,2.0630218000151217,6656,4110,3529,0.038802083333333334,0.32057291666666665,0.28177083333333336
