event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006516000139527023,0,0,1,0.0,0.4125,0.4125
incumbent_update,0.004056900041177869,13,2,32,0.009895833333333333,0.41067708333333336,0.40078125
incumbent_update,0.0055701000383123755,18,3,43,0.009895833333333333,0.41067708333333336,0.40078125
incumbent_update,0.012746100022923201,42,14,71,0.011458333333333333,0.38645833333333335,0.375
incumbent_update,0.016411199991125613,54,16,99,0.011458333333333333,0.3770833333333333,0.365625
incumbent_update,0.01987399999052286,65,18,124,0.011458333333333333,0.3653645833333333,0.35390625
incumbent_update,0.026598900032695383,88,22,177,0.011458333333333333,0.35598958333333336,0.34453125
incumbent_update,0.0275829000165686,91,23,182,0.012239583333333333,0.3536458333333333,0.34140625
incumbent_update,0.03429500001948327,111,29,218,0.013802083333333333,0.32473958333333336,0.3109375
node_interval,0.08374180004466325,256,110,329,0.019791666666666666,0.32473958333333336,0.30494791666666665
node_interval,0.14933390001533553,512,203,725,0.019791666666666666,0.32473958333333336,0.30494791666666665
incumbent_update,0.15910099999746308,547,214,786,0.019791666666666666,0.31979166666666664,0.3
node_interval,0.21427420002873987,768,291,1141,0.021354166666666667,0.31979166666666664,0.2984375
incumbent_update,0.22577350004576147,813,317,1172,0.021354166666666667,0.3190104166666667,0.29765625
incumbent_update,0.22780860000057146,819,320,1178,0.021354166666666667,0.3143229166666667,0.29296875
incumbent_update,0.22914569999556988,823,322,1182,0.022135416666666668,0.29791666666666666,0.27578125
node_interval,0.2838787999935448,1024,447,1285,0.025260416666666667,0.29791666666666666,0.27265625
node_interval,0.34215550002409145,1280,642,1273,0.028125,0.29791666666666666,0.26979166666666665
node_interval,0.4035528000094928,1536,798,1417,0.028125,0.29791666666666666,0.26979166666666665
node_interval,0.4602777000400238,1792,922,1689,0.028125,0.29791666666666666,0.26979166666666665
node_interval,0.5280846999958158,2048,1068,1873,0.028125,0.29791666666666666,0.26979166666666665
node_interval,0.5857259000185877,2304,1216,2049,0.02890625,0.29791666666666666,0.26901041666666664
node_interval,0.6453209000173956,2560,1348,2289,0.02890625,0.29791666666666666,0.26901041666666664
node_interval,0.7210650999913923,2816,1450,2649,0.02890625,0.29791666666666666,0.26901041666666664
node_interval,0.7766522000310943,3072,1560,2977,0.02890625,0.29791666666666666,0.26901041666666664
node_interval,0.8331651000189595,3328,1675,3285,0.0296875,0.29791666666666666,0.2682291666666667
node_interval,0.891990500036627,3584,1865,3293,0.03046875,0.29791666666666666,0.2674479166666667
node_interval,0.9604564000037499,3840,2078,3209,0.03125,0.29791666666666666,0.26666666666666666
node_interval,1.0289199000108056,4096,2228,3377,0.03125,0.29791666666666666,0.26666666666666666
node_interval,1.0945834000012837,4352,2417,3389,0.03359375,0.29791666666666666,0.2643229166666667
node_interval,1.1630939000169747,4608,2644,3170,0.036458333333333336,0.29791666666666666,0.26145833333333335
node_interval,1.2584281000308692,4864,2849,2989,0.036458333333333336,0.29791666666666666,0.26145833333333335
node_interval,1.363393800042104,5120,3017,2857,0.036458333333333336,0.29791666666666666,0.26145833333333335
node_interval,1.452368700003717,5376,3199,2705,0.036458333333333336,0.29791666666666666,0.26145833333333335
node_interval,1.5375141000258736,5632,3373,2577,0.036458333333333336,0.29791666666666666,0.26145833333333335
node_interval,1.629816500004381,5888,3563,2409,0.036458333333333336,0.29791666666666666,0.26145833333333335
node_interval,1.695864100009203,6144,3765,2248,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,1.756353200005833,6400,3964,2080,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,1.8325146000133827,6656,4126,1964,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,1.9010626000235789,6912,4277,1881,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,1.968669800029602,7168,4439,1766,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.056481200037524,7424,4563,1704,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.1367718999972567,7680,4708,1620,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.222402100043837,7936,4839,1549,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.301019200007431,8192,4990,1452,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.387280400027521,8448,5158,1344,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.461806700041052,8704,5282,1319,0.03723958333333333,0.29791666666666666,0.26067708333333334
node_interval,2.535621999995783,8960,5451,1231,0.03802083333333333,0.29791666666666666,0.2598958333333333
node_interval,2.6137357000261545,9216,5637,1083,0.03802083333333333,0.29791666666666666,0.2598958333333333
node_interval,2.6732562000397593,9472,5887,839,0.038802083333333334,0.29791666666666666,0.2591145833333333
node_interval,2.744476600026246,9728,6119,619,0.03958333333333333,0.29791666666666666,0.25833333333333336
node_interval,2.81777870003134,9984,6319,452,0.03958333333333333,0.29791666666666666,0.25833333333333336
node_interval,2.8943325000000186,10240,6507,305,0.03958333333333333,0.29791666666666666,0.25833333333333336
node_interval,2.970284700044431,10496,6697,159,0.03958333333333333,0.29791666666666666,0.25833333333333336
proof_complete,3.0328650000155903,10731,6894,0,0.29791666666666666,0.29791666666666666,0.0
