event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.00042180001037195325,0,0,1,0.0,0.33984375,0.33984375
incumbent_update,0.0020908000296913087,11,2,26,0.009895833333333333,0.3380208333333333,0.328125
incumbent_update,0.005807000037748367,31,6,70,0.009895833333333333,0.33098958333333334,0.32109375
incumbent_update,0.008485800004564226,45,11,92,0.011458333333333333,0.28958333333333336,0.278125
incumbent_update,0.01618640002561733,85,22,168,0.014583333333333334,0.27317708333333335,0.25859375
node_interval,0.056562400015536696,256,87,421,0.019791666666666666,0.27317708333333335,0.25338541666666664
node_interval,0.11884550005197525,512,202,729,0.022916666666666665,0.27317708333333335,0.25026041666666665
node_interval,0.1840554000227712,768,372,817,0.028125,0.27317708333333335,0.24505208333333334
node_interval,0.24413710000226274,1024,479,1157,0.0296875,0.27317708333333335,0.24348958333333334
node_interval,0.30096860002959147,1280,581,1517,0.0296875,0.27317708333333335,0.24348958333333334
node_interval,0.3540340000181459,1536,737,1661,0.03125,0.27317708333333335,0.24192708333333332
node_interval,0.4054460000479594,1792,993,1405,0.03125,0.27317708333333335,0.24192708333333332
node_interval,0.46049450000282377,2048,1211,1301,0.03359375,0.27317708333333335,0.23958333333333334
node_interval,0.5210845000110567,2304,1366,1449,0.03802083333333333,0.27317708333333335,0.23515625
node_interval,0.5833307000575587,2560,1485,1741,0.03802083333333333,0.27317708333333335,0.23515625
node_interval,0.6444572000182234,2816,1599,2053,0.03802083333333333,0.27317708333333335,0.23515625
node_interval,0.7139969000127167,3072,1843,1845,0.03958333333333333,0.27317708333333335,0.23359375
node_interval,0.7670489000156522,3328,2099,1589,0.03958333333333333,0.27317708333333335,0.23359375
node_interval,0.8229712000465952,3584,2355,1333,0.03958333333333333,0.27317708333333335,0.23359375
node_interval,0.8910246000159532,3840,2589,1165,0.040364583333333336,0.27317708333333335,0.2328125
node_interval,0.9501080000190996,4096,2803,977,0.04635416666666667,0.27317708333333335,0.22682291666666668
node_interval,1.0155116000096314,4352,2987,845,0.04791666666666667,0.27317708333333335,0.22526041666666666
node_interval,1.110254300001543,4608,3243,589,0.04791666666666667,0.27317708333333335,0.22526041666666666
node_interval,1.1955794000532478,4864,3499,333,0.04791666666666667,0.27317708333333335,0.22526041666666666
node_interval,1.2789428000105545,5120,3755,77,0.04869791666666667,0.27317708333333335,0.22447916666666667
proof_complete,1.3040549000143073,5197,3832,0,0.27317708333333335,0.27317708333333335,0.0
