event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005426999996416271,0,0,1,0.0,0.2765625,0.2765625
incumbent_update,0.002574399986770004,8,2,17,0.009895833333333333,0.2513020833333333,0.24140625
incumbent_update,0.012872399995103478,41,11,80,0.013020833333333334,0.23958333333333334,0.2265625
incumbent_update,0.01925209996988997,68,25,105,0.019010416666666665,0.23333333333333334,0.21432291666666667
node_interval,0.060541999991983175,256,99,373,0.022135416666666668,0.23333333333333334,0.21119791666666668
incumbent_update,0.07059349998598918,294,135,343,0.022916666666666665,0.22682291666666668,0.20390625
incumbent_update,0.07555139996111393,319,160,318,0.022916666666666665,0.21276041666666667,0.18984375
node_interval,0.12067299999762326,512,269,461,0.0296875,0.21276041666666667,0.18307291666666667
node_interval,0.17180269997334108,768,473,413,0.03125,0.21276041666666667,0.18151041666666667
node_interval,0.22365589998662472,1024,683,341,0.03958333333333333,0.21276041666666667,0.17317708333333334
node_interval,0.27702129998942837,1280,939,85,0.042708333333333334,0.21276041666666667,0.17005208333333333
proof_complete,0.30215730000054464,1365,1024,0,0.21276041666666667,0.21276041666666667,0.0
