event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005805999971926212,0,0,1,0.0,0.2671875,0.2671875
incumbent_update,0.002573500038124621,7,2,14,0.009895833333333333,0.25833333333333336,0.2484375
incumbent_update,0.00309070001821965,9,4,12,0.012239583333333333,0.2513020833333333,0.2390625
incumbent_update,0.00475750002078712,19,8,26,0.014583333333333334,0.23723958333333334,0.22265625
incumbent_update,0.01243060000706464,64,25,93,0.020572916666666666,0.23567708333333334,0.21510416666666668
node_interval,0.06318380002630875,256,134,233,0.023697916666666666,0.23567708333333334,0.21197916666666666
node_interval,0.13818750000791624,512,334,201,0.03203125,0.23567708333333334,0.20364583333333333
node_interval,0.20384289999492466,768,496,321,0.03203125,0.23567708333333334,0.20364583333333333
node_interval,0.27119340002536774,1024,717,205,0.040364583333333336,0.23567708333333334,0.1953125
node_interval,0.3347245000186376,1280,939,85,0.04869791666666667,0.23567708333333334,0.18697916666666667
proof_complete,0.36387960001593456,1365,1024,0,0.23567708333333334,0.23567708333333334,0.0
