event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005902000120840967,0,0,1,0.0,0.3421875,0.3421875
incumbent_update,0.003353899985086173,10,2,23,0.009895833333333333,0.32395833333333335,0.3140625
incumbent_update,0.004069399961736053,13,3,28,0.009895833333333333,0.30755208333333334,0.29765625
incumbent_update,0.008739200013224036,36,11,65,0.010677083333333334,0.29192708333333334,0.28125
incumbent_update,0.009651699976529926,41,13,72,0.010677083333333334,0.2825520833333333,0.271875
incumbent_update,0.010046600014902651,43,14,74,0.012239583333333333,0.2708333333333333,0.25859375
incumbent_update,0.039759500010404736,191,72,286,0.020572916666666666,0.26197916666666665,0.24140625
node_interval,0.05522219999693334,256,97,381,0.020572916666666666,0.26197916666666665,0.24140625
incumbent_update,0.059655899996869266,275,104,410,0.020572916666666666,0.26197916666666665,0.24140625
incumbent_update,0.08518669998738915,345,163,384,0.021354166666666667,0.25338541666666664,0.23203125
node_interval,0.13458869996247813,512,237,589,0.021354166666666667,0.25338541666666664,0.23203125
incumbent_update,0.1378388999728486,527,245,602,0.021354166666666667,0.24166666666666667,0.2203125
incumbent_update,0.15504099999088794,569,264,652,0.021354166666666667,0.24166666666666667,0.2203125
incumbent_update,0.16101799998432398,587,270,682,0.021354166666666667,0.22526041666666666,0.20390625
node_interval,0.21435969998128712,768,376,801,0.02890625,0.22526041666666666,0.19635416666666666
node_interval,0.2814924999838695,1024,571,789,0.0296875,0.22526041666666666,0.19557291666666668
node_interval,0.33934209996368736,1280,763,789,0.0296875,0.22526041666666666,0.19557291666666668
node_interval,0.3997275999863632,1536,904,993,0.0296875,0.22526041666666666,0.19557291666666668
node_interval,0.4582147999899462,1792,1054,1161,0.0296875,0.22526041666666666,0.19557291666666668
node_interval,0.5108325000037439,2048,1220,1265,0.03046875,0.22526041666666666,0.19479166666666667
node_interval,0.5764134000055492,2304,1432,1185,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,0.6479048999608494,2560,1687,933,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,0.7211629999801517,2816,1884,913,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,0.7803669999702834,3072,2059,981,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,0.86069389997283,3328,2252,977,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,0.9333971999585629,3584,2432,1025,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,1.0089488999801688,3840,2624,1025,0.03802083333333333,0.22526041666666666,0.18723958333333332
node_interval,1.0656165999826044,4096,2843,917,0.038802083333333334,0.22526041666666666,0.18645833333333334
node_interval,1.1238364999881014,4352,3099,661,0.04635416666666667,0.22526041666666666,0.17890625
node_interval,1.1872314999927767,4608,3317,557,0.04635416666666667,0.22526041666666666,0.17890625
node_interval,1.245483200007584,4864,3547,405,0.04635416666666667,0.22526041666666666,0.17890625
node_interval,1.309216599969659,5120,3764,305,0.04635416666666667,0.22526041666666666,0.17890625
node_interval,1.383727899985388,5376,4011,85,0.0546875,0.22526041666666666,0.17057291666666666
proof_complete,1.4117025999585167,5461,4096,0,0.22526041666666666,0.22526041666666666,0.0
