event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006398999830707908,0,0,1,0.0,0.2484375,0.2484375
node_interval,0.05518500000471249,256,105,349,0.023697916666666666,0.2484375,0.22473958333333333
node_interval,0.11636479996377602,512,221,653,0.023697916666666666,0.2484375,0.22473958333333333
node_interval,0.18131730001186952,768,322,1017,0.023697916666666666,0.2484375,0.22473958333333333
node_interval,0.23650790000101551,1024,418,1401,0.023697916666666666,0.2484375,0.22473958333333333
node_interval,0.28700100001879036,1280,544,1665,0.029947916666666668,0.2484375,0.21848958333333332
node_interval,0.3459068000083789,1536,704,1793,0.029947916666666668,0.2484375,0.21848958333333332
node_interval,0.3971319000120275,1792,855,1957,0.029947916666666668,0.2484375,0.21848958333333332
node_interval,0.46345139999175444,2048,994,2169,0.029947916666666668,0.2484375,0.21848958333333332
node_interval,0.5198742999928072,2304,1175,2213,0.03203125,0.2484375,0.21640625
node_interval,0.5769269000156783,2560,1345,2301,0.03203125,0.2484375,0.21640625
node_interval,0.6323803999694064,2816,1485,2509,0.03203125,0.2484375,0.21640625
node_interval,0.6866786999744363,3072,1634,2681,0.03203125,0.2484375,0.21640625
node_interval,0.7446274000103585,3328,1787,2837,0.03203125,0.2484375,0.21640625
node_interval,0.8003201999817975,3584,1909,3117,0.03203125,0.2484375,0.21640625
node_interval,0.8554410999640822,3840,2043,3349,0.03203125,0.2484375,0.21640625
node_interval,0.9130866000195965,4096,2163,3637,0.03203125,0.2484375,0.21640625
node_interval,0.9877899999846704,4352,2309,3821,0.03203125,0.2484375,0.21640625
node_interval,1.0859049999853596,4608,2458,3993,0.03203125,0.2484375,0.21640625
node_interval,1.164547499967739,4864,2569,4317,0.03203125,0.2484375,0.21640625
node_interval,1.2526569999754429,5120,2670,4681,0.03203125,0.2484375,0.21640625
node_interval,1.3125372999929823,5376,2803,4917,0.03203125,0.2484375,0.21640625
node_interval,1.3834985999856144,5632,2913,5245,0.03203125,0.2484375,0.21640625
node_interval,1.4873833999736235,5888,3031,5541,0.03203125,0.2484375,0.21640625
node_interval,1.572235699975863,6144,3168,5761,0.03203125,0.2484375,0.21640625
node_interval,1.652632999990601,6400,3304,5985,0.03203125,0.2484375,0.21640625
node_interval,1.7377805999713019,6656,3446,6185,0.03619791666666667,0.2484375,0.21223958333333334
node_interval,1.8208912999834865,6912,3630,6217,0.03828125,0.2484375,0.21015625
node_interval,1.8874769000103697,7168,3847,6117,0.03828125,0.2484375,0.21015625
node_interval,1.9490459999651648,7424,4001,6269,0.03828125,0.2484375,0.21015625
node_interval,2.0208763999980874,7680,4199,6245,0.03828125,0.2484375,0.21015625
node_interval,2.0820437999791466,7936,4384,6273,0.03828125,0.2484375,0.21015625
node_interval,2.145414099970367,8192,4556,6353,0.03828125,0.2484375,0.21015625
node_interval,2.24484429997392,8448,4736,6401,0.03828125,0.2484375,0.21015625
node_interval,2.3320929000037722,8704,4894,6537,0.03828125,0.2484375,0.21015625
node_interval,2.4155568999703974,8960,5060,6641,0.03828125,0.2484375,0.21015625
node_interval,2.5011292999843135,9216,5235,6709,0.03828125,0.2484375,0.21015625
node_interval,2.5909737999900244,9472,5413,6765,0.03828125,0.2484375,0.21015625
node_interval,2.667464600002859,9728,5588,6833,0.03828125,0.2484375,0.21015625
node_interval,2.7441014999640174,9984,5747,6965,0.03828125,0.2484375,0.21015625
node_interval,2.826232399966102,10240,5902,7113,0.03828125,0.2484375,0.21015625
node_interval,2.9058901999960653,10496,6073,7197,0.03828125,0.2484375,0.21015625
node_interval,2.981009199982509,10752,6227,7349,0.03828125,0.2484375,0.21015625
node_interval,3.0658065999741666,11008,6446,7181,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.1542418000171892,11264,6655,7020,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.2966851000091992,11520,6820,6920,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.404945200018119,11776,7004,6794,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.4877638000180013,12032,7185,6682,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.5689794999780133,12288,7372,6585,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.655667299986817,12544,7573,6463,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.7379435999901034,12800,7738,6363,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.8166388999670744,13056,7879,6296,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.8984619000111707,13312,8038,6248,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,3.9863967999699526,13568,8223,6134,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.11036290001357,13824,8393,6037,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.189548900001682,14080,8533,5963,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.268477900011931,14336,8679,5897,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.351922100002412,14592,8838,5862,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.439462499984074,14848,9026,5759,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.533864500001073,15104,9188,5704,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.629859099979512,15360,9352,5672,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.711907999997493,15616,9539,5561,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.800421899999492,15872,9707,5466,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.88273010001285,16128,9849,5390,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,4.96374510001624,16384,9993,5323,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.052240599994548,16640,10148,5296,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.130270499968901,16896,10273,5236,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.209087600000203,17152,10410,5180,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.27578630001517,17408,10522,5150,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.336939400003757,17664,10674,5114,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.397856199997477,17920,10837,5065,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.4583373999921605,18176,11003,4960,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.5331668999860995,18432,11158,4871,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.618391899974085,18688,11296,4803,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.697061599988956,18944,11454,4754,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.777412399998866,19200,11600,4700,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.843379199970514,19456,11730,4660,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.904851600003894,19712,11849,4606,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,5.9653851999901235,19968,11991,4569,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.030625500017777,20224,12129,4565,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.094885299971793,20480,12316,4469,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.163635700009763,20736,12482,4406,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.236136099963915,20992,12649,4356,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.3007948999875225,21248,12813,4328,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.37209029996302,21504,12959,4318,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.435790200019255,21760,13106,4288,0.040364583333333336,0.2484375,0.20807291666666666
node_interval,6.496504699985962,22016,13261,4331,0.04453125,0.2484375,0.20390625
node_interval,6.5788708999753,22272,13432,4415,0.04453125,0.2484375,0.20390625
node_interval,6.6516931999940425,22528,13600,4511,0.04453125,0.2484375,0.20390625
node_interval,6.714139899995644,22784,13783,4547,0.04453125,0.2484375,0.20390625
node_interval,6.773445800004993,23040,13945,4667,0.04453125,0.2484375,0.20390625
node_interval,6.835823700006586,23296,14170,4525,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,6.899770499963779,23552,14404,4320,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,6.963617799978238,23808,14591,4179,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.03037559997756,24064,14780,4058,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.095301900000777,24320,15008,3871,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.159493200015277,24576,15231,3695,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.233246000017971,24832,15434,3558,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.308934299973771,25088,15627,3441,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.381328399991617,25344,15832,3329,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.459029499965254,25600,16060,3135,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.524001799989492,25856,16237,3017,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.587932800000999,26112,16411,2917,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.6533362999907695,26368,16610,2788,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.717066899989732,26624,16775,2718,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.783086800016463,26880,16977,2605,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.847959299979266,27136,17198,2433,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.922521799977403,27392,17354,2334,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,7.995329299999867,27648,17547,2214,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,8.068945800012443,27904,17736,2105,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,8.144730900006834,28160,17907,2031,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,8.208178100001533,28416,18112,1907,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,8.27151499997126,28672,18308,1784,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,8.340876600006595,28928,18506,1659,0.046614583333333334,0.2484375,0.20182291666666666
node_interval,8.405231799988542,29184,18711,1545,0.046614583333333334,0.2484375,0.20182291666666666
