event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0012524999910965562,0,0,1,0.0,0.253125,0.253125
node_interval,0.08306570001877844,256,95,389,0.023697916666666666,0.253125,0.22942708333333334
node_interval,0.19684739998774603,512,188,785,0.023697916666666666,0.253125,0.22942708333333334
node_interval,0.2813897000160068,768,261,1261,0.023697916666666666,0.253125,0.22942708333333334
node_interval,0.36919359996682033,1024,336,1729,0.029947916666666668,0.253125,0.22317708333333333
node_interval,0.4710386999649927,1280,435,2101,0.03203125,0.253125,0.22109375
node_interval,0.5621753999730572,1536,612,2161,0.03203125,0.253125,0.22109375
node_interval,0.6828891999903135,1792,765,2317,0.03203125,0.253125,0.22109375
node_interval,0.7834323999704793,2048,887,2597,0.03203125,0.253125,0.22109375
node_interval,0.8740910000051372,2304,1024,2817,0.03203125,0.253125,0.22109375
node_interval,0.9608344999724068,2560,1124,3185,0.03203125,0.253125,0.22109375
node_interval,1.0650712000206113,2816,1239,3493,0.03203125,0.253125,0.22109375
node_interval,1.1915837000124156,3072,1355,3797,0.03203125,0.253125,0.22109375
node_interval,1.2948722000000998,3328,1471,4101,0.03203125,0.253125,0.22109375
node_interval,1.4047919000149705,3584,1559,4517,0.03203125,0.253125,0.22109375
node_interval,1.5070763999829069,3840,1690,4761,0.03203125,0.253125,0.22109375
node_interval,1.6131079000188038,4096,1786,5145,0.03203125,0.253125,0.22109375
node_interval,1.7165281000197865,4352,1872,5569,0.03203125,0.253125,0.22109375
node_interval,1.8250159000162967,4608,1981,5901,0.03203125,0.253125,0.22109375
node_interval,1.9215226999949664,4864,2061,6349,0.03203125,0.253125,0.22109375
node_interval,2.044226699974388,5120,2209,6525,0.03828125,0.253125,0.21484375
node_interval,2.171055599988904,5376,2338,6777,0.03828125,0.253125,0.21484375
node_interval,2.3063070999924093,5632,2472,7009,0.03828125,0.253125,0.21484375
node_interval,2.4379761000163853,5888,2570,7385,0.03828125,0.253125,0.21484375
node_interval,2.554144299996551,6144,2685,7693,0.03828125,0.253125,0.21484375
node_interval,2.681245799991302,6400,2810,7961,0.03828125,0.253125,0.21484375
node_interval,2.8150370999937877,6656,2971,8085,0.040364583333333336,0.253125,0.21276041666666667
node_interval,2.92593999998644,6912,3177,7879,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.041564900020603,7168,3383,7673,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.154438099998515,7424,3550,7506,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.2653283000108786,7680,3725,7331,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.396132799971383,7936,3909,7149,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.529742599988822,8192,4085,6992,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.651294599985704,8448,4254,6823,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.7669307999894954,8704,4397,6683,0.040364583333333336,0.253125,0.21276041666666667
node_interval,3.8833240999956615,8960,4532,6560,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.00860850000754,9216,4693,6430,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.125476999965031,9472,4854,6269,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.244900599995162,9728,4993,6139,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.3542828999925405,9984,5155,6008,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.458889300003648,10240,5315,5848,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.566088099963963,10496,5454,5715,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.673295099986717,10752,5579,5614,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.783400999964215,11008,5751,5458,0.040364583333333336,0.253125,0.21276041666666667
node_interval,4.8931720000109635,11264,5915,5294,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.009201899985783,11520,6041,5175,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.117248599999584,11776,6169,5086,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.225634899979923,12032,6281,4989,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.333302200015169,12288,6398,4885,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.4405360000091605,12544,6557,4740,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.556333900021855,12800,6741,4556,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.669184099999256,13056,6889,4409,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.8232954000122845,13312,7029,4275,0.040364583333333336,0.253125,0.21276041666666667
node_interval,5.935463999980129,13568,7173,4169,0.040364583333333336,0.253125,0.21276041666666667
node_interval,6.054144299996551,13824,7302,4046,0.040364583333333336,0.253125,0.21276041666666667
node_interval,6.187127100012731,14080,7417,3954,0.040364583333333336,0.253125,0.21276041666666667
node_interval,6.317570100014564,14336,7539,3841,0.040364583333333336,0.253125,0.21276041666666667
node_interval,6.4583192999707535,14592,7673,3725,0.040364583333333336,0.253125,0.21276041666666667
node_interval,6.606933199975174,14848,7772,3650,0.040364583333333336,0.253125,0.21276041666666667
