event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005866999854333699,0,0,1,0.0,0.30234375,0.30234375
incumbent_update,0.011433899984695017,45,12,88,0.012239583333333333,0.3020833333333333,0.28984375
incumbent_update,0.01845189998857677,75,22,138,0.014583333333333334,0.29270833333333335,0.278125
node_interval,0.08853980002459139,256,122,281,0.022135416666666668,0.29270833333333335,0.27057291666666666
node_interval,0.20852829999057576,512,255,517,0.028385416666666666,0.29270833333333335,0.2643229166666667
node_interval,0.31180720002157614,768,426,601,0.03046875,0.29270833333333335,0.26223958333333336
node_interval,0.4349019000073895,1024,591,709,0.03046875,0.29270833333333335,0.26223958333333336
node_interval,0.562792900018394,1280,777,733,0.03671875,0.29270833333333335,0.2559895833333333
node_interval,0.6782723999931477,1536,943,837,0.03671875,0.29270833333333335,0.2559895833333333
node_interval,0.7862630999879912,1792,1078,1065,0.03671875,0.29270833333333335,0.2559895833333333
node_interval,0.9020337000256404,2048,1246,1161,0.0375,0.29270833333333335,0.2552083333333333
node_interval,1.0120164999971166,2304,1478,1001,0.038802083333333334,0.29270833333333335,0.25390625
node_interval,1.1127482000156306,2560,1680,961,0.0421875,0.29270833333333335,0.25052083333333336
node_interval,1.2123611000133678,2816,1897,861,0.04505208333333333,0.29270833333333335,0.24765625
node_interval,1.3244653000147082,3072,2103,805,0.04505208333333333,0.29270833333333335,0.24765625
node_interval,1.434670599992387,3328,2290,825,0.04505208333333333,0.29270833333333335,0.24765625
node_interval,1.5678901000064798,3584,2469,877,0.04505208333333333,0.29270833333333335,0.24765625
node_interval,1.6802772000082768,3840,2656,897,0.04505208333333333,0.29270833333333335,0.24765625
node_interval,1.7931537000113167,4096,2856,865,0.047135416666666666,0.29270833333333335,0.24557291666666667
node_interval,1.9133370000054128,4352,3099,661,0.053385416666666664,0.29270833333333335,0.23932291666666666
node_interval,2.0216131000197493,4608,3337,477,0.053385416666666664,0.29270833333333335,0.23932291666666666
node_interval,2.1374730999814346,4864,3560,353,0.053385416666666664,0.29270833333333335,0.23932291666666666
node_interval,2.250904700020328,5120,3779,245,0.053385416666666664,0.29270833333333335,0.23932291666666666
node_interval,2.358002300024964,5376,4011,85,0.06171875,0.29270833333333335,0.23098958333333333
proof_complete,2.3979817000217736,5461,4096,0,0.29270833333333335,0.29270833333333335,0.0
