event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006208999548107386,0,0,1,0.0,0.3421875,0.3421875
incumbent_update,0.0057749999687075615,17,7,24,0.009895833333333333,0.32864583333333336,0.31875
incumbent_update,0.01809189998311922,52,14,101,0.010677083333333334,0.32005208333333335,0.309375
incumbent_update,0.029964799992740154,98,30,175,0.018229166666666668,0.3067708333333333,0.28854166666666664
node_interval,0.08065589994657785,256,106,345,0.020572916666666666,0.3067708333333333,0.28619791666666666
incumbent_update,0.09427019994473085,294,126,379,0.020572916666666666,0.3065104166666667,0.2859375
node_interval,0.16580339998472482,512,231,613,0.021354166666666667,0.3065104166666667,0.28515625
incumbent_update,0.1974843999487348,605,290,656,0.022135416666666668,0.2869791666666667,0.26484375
node_interval,0.2555739999515936,768,402,697,0.02734375,0.2869791666666667,0.2596354166666667
node_interval,0.35862279997672886,1024,545,893,0.02890625,0.2869791666666667,0.25807291666666665
node_interval,0.45699839998269454,1280,697,1053,0.0296875,0.2869791666666667,0.25729166666666664
node_interval,0.5556453999597579,1536,875,1109,0.0296875,0.2869791666666667,0.25729166666666664
node_interval,0.6671079999650829,1792,1052,1169,0.03046875,0.2869791666666667,0.2565104166666667
node_interval,0.7950718999491073,2048,1240,1185,0.03046875,0.2869791666666667,0.2565104166666667
node_interval,0.8918353999615647,2304,1450,1113,0.03723958333333333,0.2869791666666667,0.24973958333333332
node_interval,1.0094110999489203,2560,1623,1189,0.03802083333333333,0.2869791666666667,0.24895833333333334
node_interval,1.126293299952522,2816,1839,1093,0.03802083333333333,0.2869791666666667,0.24895833333333334
node_interval,1.2361139999702573,3072,2034,1081,0.03802083333333333,0.2869791666666667,0.24895833333333334
node_interval,1.3442828999832273,3328,2230,1065,0.03802083333333333,0.2869791666666667,0.24895833333333334
node_interval,1.4698633999796584,3584,2429,1037,0.03802083333333333,0.2869791666666667,0.24895833333333334
node_interval,1.5835676999995485,3840,2628,1009,0.038802083333333334,0.2869791666666667,0.24817708333333333
node_interval,1.6924492999678478,4096,2846,905,0.045572916666666664,0.2869791666666667,0.24140625
node_interval,1.8180041999439709,4352,3102,649,0.04635416666666667,0.2869791666666667,0.240625
node_interval,1.938689799979329,4608,3314,569,0.04635416666666667,0.2869791666666667,0.240625
node_interval,2.0684415999567136,4864,3533,461,0.04635416666666667,0.2869791666666667,0.240625
node_interval,2.190539999981411,5120,3755,341,0.047135416666666666,0.2869791666666667,0.23984375
node_interval,2.3265308999689296,5376,4011,85,0.0546875,0.2869791666666667,0.23229166666666667
proof_complete,2.369736299966462,5461,4096,0,0.2869791666666667,0.2869791666666667,0.0
