event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005899000097997487,0,0,1,0.0,0.28359375,0.28359375
incumbent_update,0.002457599970512092,8,2,17,0.009895833333333333,0.2747395833333333,0.26484375
incumbent_update,0.006183399993460625,24,7,45,0.011458333333333333,0.25286458333333334,0.24140625
incumbent_update,0.016652899968903512,64,23,101,0.015364583333333333,0.23958333333333334,0.22421875
incumbent_update,0.04610019997926429,155,80,146,0.021354166666666667,0.23463541666666668,0.21328125
node_interval,0.08985129999928176,256,132,241,0.022135416666666668,0.23463541666666668,0.2125
incumbent_update,0.09857540001394227,286,148,267,0.022135416666666668,0.22838541666666667,0.20625
incumbent_update,0.1291258999845013,356,192,301,0.025260416666666667,0.22213541666666667,0.196875
incumbent_update,0.13041549996705726,359,195,298,0.025260416666666667,0.21510416666666668,0.18984375
incumbent_update,0.13082209997810423,360,196,297,0.025260416666666667,0.21510416666666668,0.18984375
node_interval,0.19324369996320456,512,326,233,0.03046875,0.21510416666666668,0.18463541666666666
node_interval,0.2891397000057623,768,497,317,0.03046875,0.21510416666666668,0.18463541666666666
node_interval,0.37114539998583496,1024,722,185,0.038802083333333334,0.21510416666666668,0.17630208333333333
node_interval,0.46954149997327477,1280,939,85,0.047135416666666666,0.21510416666666668,0.16796875
proof_complete,0.5028773999656551,1365,1024,0,0.21510416666666668,0.21510416666666668,0.0
