event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005780999781563878,0,0,1,0.0,0.3234375,0.3234375
incumbent_update,0.0056155999773181975,21,5,44,0.010677083333333334,0.3223958333333333,0.31171875
incumbent_update,0.006774199951905757,26,6,55,0.010677083333333334,0.3223958333333333,0.31171875
incumbent_update,0.00856079999357462,34,8,71,0.013020833333333334,0.31223958333333335,0.29921875
incumbent_update,0.011131999955978245,46,10,99,0.013020833333333334,0.30833333333333335,0.2953125
incumbent_update,0.01241129997652024,52,11,113,0.014583333333333334,0.30833333333333335,0.29375
incumbent_update,0.013120299961883575,55,12,118,0.016145833333333335,0.28880208333333335,0.27265625
incumbent_update,0.01830820000031963,78,18,163,0.016145833333333335,0.28567708333333336,0.26953125
incumbent_update,0.019067699962761253,81,19,168,0.018489583333333334,0.27395833333333336,0.25546875
node_interval,0.07854939997196198,256,76,465,0.024479166666666666,0.27395833333333336,0.24947916666666667
node_interval,0.17503719998057932,512,209,701,0.026822916666666665,0.27395833333333336,0.24713541666666666
incumbent_update,0.19565919996239245,579,261,694,0.026822916666666665,0.26119791666666664,0.234375
node_interval,0.2650504999910481,768,344,929,0.0328125,0.26119791666666664,0.22838541666666667
node_interval,0.36842129996512085,1024,445,1293,0.03515625,0.26119791666666664,0.22604166666666667
node_interval,0.46273450000444427,1280,646,1257,0.03515625,0.26119791666666664,0.22604166666666667
node_interval,0.5746959999669343,1536,838,1257,0.03515625,0.26119791666666664,0.22604166666666667
node_interval,0.673746399988886,1792,1032,1249,0.03515625,0.26119791666666664,0.22604166666666667
node_interval,0.7695920999976806,2048,1227,1237,0.03671875,0.26119791666666664,0.22447916666666667
node_interval,0.8743637999868952,2304,1377,1405,0.0421875,0.26119791666666664,0.21901041666666668
node_interval,0.9774837999721058,2560,1610,1241,0.04348958333333333,0.26119791666666664,0.21770833333333334
node_interval,1.0746819999767467,2816,1819,1173,0.04348958333333333,0.26119791666666664,0.21770833333333334
node_interval,1.1838338999659754,3072,2013,1165,0.04348958333333333,0.26119791666666664,0.21770833333333334
node_interval,1.2830657999729738,3328,2228,1073,0.04348958333333333,0.26119791666666664,0.21770833333333334
node_interval,1.3865822999505326,3584,2442,985,0.04348958333333333,0.26119791666666664,0.21770833333333334
node_interval,1.4844871999812312,3840,2639,965,0.04348958333333333,0.26119791666666664,0.21770833333333334
node_interval,1.5873439999995753,4096,2843,917,0.050520833333333334,0.26119791666666664,0.21067708333333332
node_interval,1.6910860000061803,4352,3099,661,0.05182291666666667,0.26119791666666664,0.209375
node_interval,1.8028497999766842,4608,3316,561,0.05182291666666667,0.26119791666666664,0.209375
node_interval,1.9081776999519207,4864,3545,413,0.05182291666666667,0.26119791666666664,0.209375
node_interval,2.0202522999607027,5120,3774,265,0.05182291666666667,0.26119791666666664,0.209375
node_interval,2.144814500003122,5376,4011,85,0.06015625,0.26119791666666664,0.20104166666666667
proof_complete,2.1886515999794938,5461,4096,0,0.26119791666666664,0.26119791666666664,0.0
