event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.000988899962976575,0,0,1,0.0,0.2296875,0.2296875
node_interval,0.08123149996390566,256,114,313,0.023697916666666666,0.2296875,0.20598958333333334
node_interval,0.16346299997530878,512,219,661,0.023697916666666666,0.2296875,0.20598958333333334
node_interval,0.24499529995955527,768,316,1041,0.029947916666666668,0.2296875,0.19973958333333333
node_interval,0.3304024999961257,1024,449,1277,0.03203125,0.2296875,0.19765625
node_interval,0.4276366999838501,1280,634,1305,0.03203125,0.2296875,0.19765625
node_interval,0.5202420999994501,1536,789,1453,0.03203125,0.2296875,0.19765625
node_interval,0.6213675999897532,1792,944,1601,0.03203125,0.2296875,0.19765625
node_interval,0.7239014999940991,2048,1091,1781,0.03203125,0.2296875,0.19765625
node_interval,0.8254482999909669,2304,1207,2085,0.03203125,0.2296875,0.19765625
node_interval,0.9242328999680467,2560,1337,2333,0.03203125,0.2296875,0.19765625
node_interval,1.0294438999844715,2816,1483,2517,0.03203125,0.2296875,0.19765625
node_interval,1.148168399988208,3072,1599,2821,0.03203125,0.2296875,0.19765625
node_interval,1.2495266000041738,3328,1769,2909,0.03828125,0.2296875,0.19140625
node_interval,1.3562355999602005,3584,1935,3013,0.03828125,0.2296875,0.19140625
node_interval,1.4541006999788806,3840,2096,3137,0.03828125,0.2296875,0.19140625
node_interval,1.5623843999928795,4096,2253,3277,0.03828125,0.2296875,0.19140625
node_interval,1.7051714999834076,4352,2433,3325,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,1.820769099984318,4608,2643,3253,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,1.962199800007511,4864,2830,3273,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.074365999957081,5120,3020,3281,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.1928311999654397,5376,3209,3293,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.3251631999737583,5632,3392,3329,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.4489722999860533,5888,3581,3341,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.567042200011201,6144,3750,3433,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.680787999997847,6400,3891,3637,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.797675399982836,6656,4046,3785,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.943339699995704,6912,4224,3841,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.0615052999928594,7168,4384,3969,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.175035099964589,7424,4565,4013,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.3041552999638952,7680,4738,4089,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.4178534999955446,7936,4909,4173,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.559777299989946,8192,5060,4337,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.7054433999583125,8448,5213,4493,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.836761199985631,8704,5380,4593,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,3.9587626999709755,8960,5592,4513,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.102856799960136,9216,5794,4473,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.264476299984381,9472,5966,4553,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.389983200002462,9728,6165,4525,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.514998300001025,9984,6358,4521,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.6526396999834105,10240,6537,4573,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.769907300011255,10496,6719,4613,0.046614583333333334,0.2296875,0.18307291666666667
node_interval,4.907186299969908,10752,6935,4517,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.028517799975816,11008,7156,4317,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.170505099988077,11264,7383,4109,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.3084159999853,11520,7607,3905,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.424504099995829,11776,7823,3713,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.544695699994918,12032,8034,3527,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.6796011999831535,12288,8231,3366,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.805412299989257,12544,8412,3225,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,5.9368944999878295,12800,8600,3071,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.062198199972045,13056,8790,2919,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.191575800010469,13312,8986,2757,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.337071799964178,13568,9195,2575,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.472188799991272,13824,9391,2413,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.591539599990938,14080,9600,2231,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.709372599958442,14336,9796,2069,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.82626539998455,14592,10011,1878,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,6.945717800001148,14848,10192,1738,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,7.058470599993598,15104,10377,1591,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,7.171860900009051,15360,10573,1427,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,7.296447200002149,15616,10754,1287,0.04869791666666667,0.2296875,0.18098958333333334
node_interval,7.417763000004925,15872,10963,1153,0.054947916666666666,0.2296875,0.17473958333333334
node_interval,7.541949999984354,16128,11194,943,0.054947916666666666,0.2296875,0.17473958333333334
node_interval,7.6889764000079595,16384,11406,767,0.054947916666666666,0.2296875,0.17473958333333334
node_interval,7.836343000002671,16640,11628,567,0.054947916666666666,0.2296875,0.17473958333333334
node_interval,7.974410899973009,16896,11855,359,0.054947916666666666,0.2296875,0.17473958333333334
node_interval,8.091249299992342,17152,12071,177,0.054947916666666666,0.2296875,0.17473958333333334
node_interval,8.209094699996058,17408,12283,1,0.061197916666666664,0.2296875,0.16848958333333333
proof_complete,8.210623399994802,17409,12284,0,0.2296875,0.2296875,0.0
