event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.000832499994430691,0,0,1,0.0,0.34453125,0.34453125
incumbent_update,0.00768080004490912,18,8,23,0.009895833333333333,0.34270833333333334,0.3328125
incumbent_update,0.01130020001437515,31,12,46,0.010677083333333334,0.3380208333333333,0.32734375
incumbent_update,0.018496800039429218,53,18,88,0.011458333333333333,0.3302083333333333,0.31875
incumbent_update,0.01879570004530251,54,19,87,0.012239583333333333,0.3184895833333333,0.30625
node_interval,0.082233700028155,256,114,313,0.019791666666666666,0.3184895833333333,0.2986979166666667
incumbent_update,0.12365760002285242,395,177,478,0.020572916666666666,0.31588541666666664,0.2953125
incumbent_update,0.12396180001087487,396,178,477,0.020572916666666666,0.30416666666666664,0.28359375
node_interval,0.15891759999794886,512,217,669,0.020572916666666666,0.30416666666666664,0.28359375
incumbent_update,0.17931930004851893,582,248,755,0.020572916666666666,0.30416666666666664,0.28359375
node_interval,0.23735180002404377,768,321,1021,0.021354166666666667,0.30416666666666664,0.2828125
node_interval,0.32307000004220754,1024,448,1281,0.023697916666666666,0.30416666666666664,0.28046875
node_interval,0.4189329000073485,1280,627,1333,0.02890625,0.30416666666666664,0.2752604166666667
node_interval,0.5281903000432067,1536,807,1381,0.02890625,0.30416666666666664,0.2752604166666667
node_interval,0.6226933000143617,1792,964,1521,0.02890625,0.30416666666666664,0.2752604166666667
node_interval,0.7225292000221089,2048,1096,1761,0.02890625,0.30416666666666664,0.2752604166666667
node_interval,0.8189772000187077,2304,1240,1953,0.02890625,0.30416666666666664,0.2752604166666667
node_interval,0.9081913999980316,2560,1369,2205,0.02890625,0.30416666666666664,0.2752604166666667
node_interval,1.0249518000055104,2816,1539,2293,0.0296875,0.30416666666666664,0.27447916666666666
node_interval,1.1222707999986596,3072,1696,2433,0.0296875,0.30416666666666664,0.27447916666666666
node_interval,1.2135020000278018,3328,1835,2645,0.0296875,0.30416666666666664,0.27447916666666666
node_interval,1.3325619000243023,3584,1993,2781,0.0296875,0.30416666666666664,0.27447916666666666
node_interval,1.4364512000465766,3840,2131,2997,0.0296875,0.30416666666666664,0.27447916666666666
node_interval,1.5539080000016838,4096,2281,3165,0.03046875,0.30416666666666664,0.27369791666666665
node_interval,1.651887500018347,4352,2485,3117,0.03203125,0.30416666666666664,0.2721354166666667
node_interval,1.7463055000407621,4608,2638,3273,0.0328125,0.30416666666666664,0.2713541666666667
node_interval,1.842704100010451,4864,2792,3425,0.0328125,0.30416666666666664,0.2713541666666667
node_interval,1.9372652000165544,5120,2969,3485,0.03567708333333333,0.30416666666666664,0.26848958333333334
node_interval,2.037093500024639,5376,3200,3329,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.130741400003899,5632,3411,3253,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.2298046000069007,5888,3588,3313,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.3335606000036933,6144,3780,3313,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.434093700023368,6400,3959,3365,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.538072800030932,6656,4161,3325,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.639915600011591,6912,4328,3425,0.03723958333333333,0.30416666666666664,0.2669270833333333
node_interval,2.749866500031203,7168,4539,3349,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,2.864596300001722,7424,4747,3285,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,2.9711874999920838,7680,4922,3353,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.0746104000136256,7936,5113,3357,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.173255700035952,8192,5304,3361,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.275007300020661,8448,5496,3361,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.38066650001565,8704,5667,3445,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.4984033000073396,8960,5813,3629,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.5991440000361763,9216,5964,3793,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.7044835000415333,9472,6157,3789,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.8070967000094242,9728,6338,3833,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,3.918952900043223,9984,6493,3981,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,4.018544099992141,10240,6679,4005,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,4.122009300044738,10496,6836,4145,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,4.2252179000061005,10752,6991,4293,0.03802083333333333,0.30416666666666664,0.26614583333333336
node_interval,4.329875399998855,11008,7245,4045,0.038802083333333334,0.30416666666666664,0.26536458333333335
node_interval,4.4377947000321,11264,7458,3961,0.040364583333333336,0.30416666666666664,0.2638020833333333
node_interval,4.545876900025178,11520,7657,3933,0.040364583333333336,0.30416666666666664,0.2638020833333333
node_interval,4.644209199992474,11776,7840,3969,0.04114583333333333,0.30416666666666664,0.2630208333333333
node_interval,4.745841900003143,12032,8034,3961,0.04114583333333333,0.30416666666666664,0.2630208333333333
node_interval,4.845728400046937,12288,8221,3981,0.04114583333333333,0.30416666666666664,0.2630208333333333
node_interval,4.952621000004001,12544,8398,4041,0.04114583333333333,0.30416666666666664,0.2630208333333333
node_interval,5.075139300024603,12800,8645,3821,0.045572916666666664,0.30416666666666664,0.25859375
node_interval,5.19629089999944,13056,8873,3677,0.045572916666666664,0.30416666666666664,0.25859375
node_interval,5.310997600026894,13312,9095,3557,0.045572916666666664,0.30416666666666664,0.25859375
node_interval,5.420669700019062,13568,9327,3397,0.045572916666666664,0.30416666666666664,0.25859375
node_interval,5.539354900014587,13824,9557,3245,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,5.645252200018149,14080,9782,3113,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,5.750137499999255,14336,10009,2973,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,5.859323600016069,14592,10226,2873,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,5.972234500048216,14848,10441,2781,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,6.075003200036008,15104,10644,2737,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,6.179918300011195,15360,10826,2777,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,6.290474500041455,15616,11009,2813,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,6.409907800029032,15872,11199,2821,0.04635416666666667,0.30416666666666664,0.2578125
node_interval,6.535550700034946,16128,11406,2761,0.04635416666666667,0.30416666666666664,0.2578125
