event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006757000228390098,0,0,1,0.0,0.196875,0.196875
node_interval,0.08211830002255738,256,121,285,0.023697916666666666,0.196875,0.17317708333333334
node_interval,0.16827299998840317,512,232,609,0.029947916666666668,0.196875,0.16692708333333334
node_interval,0.2587558999657631,768,410,665,0.03203125,0.196875,0.16484375
node_interval,0.35833349998574704,1024,579,757,0.03203125,0.196875,0.16484375
node_interval,0.4574566999799572,1280,725,941,0.03203125,0.196875,0.16484375
node_interval,0.5560305999824777,1536,860,1169,0.03203125,0.196875,0.16484375
node_interval,0.6551719999988563,1792,1036,1233,0.03828125,0.196875,0.15859375
node_interval,0.7491679000086151,2048,1220,1265,0.03828125,0.196875,0.15859375
node_interval,0.8462286000140011,2304,1418,1241,0.040364583333333336,0.196875,0.15651041666666668
node_interval,0.9622612000093795,2560,1638,1129,0.040364583333333336,0.196875,0.15651041666666668
node_interval,1.060451400000602,2816,1834,1113,0.040364583333333336,0.196875,0.15651041666666668
node_interval,1.1658920000190847,3072,2011,1173,0.040364583333333336,0.196875,0.15651041666666668
node_interval,1.2666723000002094,3328,2199,1189,0.040364583333333336,0.196875,0.15651041666666668
node_interval,1.3663886999711394,3584,2377,1245,0.046614583333333334,0.196875,0.15026041666666667
node_interval,1.459934799990151,3840,2607,1093,0.046614583333333334,0.196875,0.15026041666666667
node_interval,1.5573087999946438,4096,2836,945,0.046614583333333334,0.196875,0.15026041666666667
node_interval,1.6772109000012279,4352,3076,753,0.04869791666666667,0.196875,0.14817708333333332
node_interval,1.7957383000175469,4608,3297,637,0.04869791666666667,0.196875,0.14817708333333332
node_interval,1.9083391000167467,4864,3524,497,0.04869791666666667,0.196875,0.14817708333333332
node_interval,2.0143421000102535,5120,3755,341,0.054947916666666666,0.196875,0.14192708333333334
node_interval,2.1266956999897957,5376,4011,85,0.05703125,0.196875,0.13984375
proof_complete,2.167328000010457,5461,4096,0,0.196875,0.196875,0.0
