event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006921000313013792,0,0,1,0.0,0.225,0.225
node_interval,0.07684390002395958,256,101,365,0.023697916666666666,0.225,0.20130208333333333
node_interval,0.19848700001602992,512,210,697,0.023697916666666666,0.225,0.20130208333333333
node_interval,0.2911196000059135,768,304,1089,0.023697916666666666,0.225,0.20130208333333333
node_interval,0.38679810002213344,1024,381,1549,0.023697916666666666,0.225,0.20130208333333333
node_interval,0.4782790000317618,1280,468,1969,0.029947916666666668,0.225,0.19505208333333332
node_interval,0.5766617999761365,1536,636,2065,0.029947916666666668,0.225,0.19505208333333332
node_interval,0.6692245000158437,1792,782,2249,0.029947916666666668,0.225,0.19505208333333332
node_interval,0.7669435000279918,2048,951,2341,0.03203125,0.225,0.19296875
node_interval,0.8678482000250369,2304,1107,2485,0.03203125,0.225,0.19296875
node_interval,0.9645754999946803,2560,1246,2697,0.03203125,0.225,0.19296875
node_interval,1.0599424000247382,2816,1389,2893,0.03203125,0.225,0.19296875
node_interval,1.1520529999979772,3072,1530,3097,0.03203125,0.225,0.19296875
node_interval,1.2445070000248961,3328,1635,3445,0.03203125,0.225,0.19296875
node_interval,1.344406499993056,3584,1758,3721,0.03203125,0.225,0.19296875
node_interval,1.4454163999762386,3840,1884,3985,0.03203125,0.225,0.19296875
node_interval,1.5433869999833405,4096,2007,4261,0.03203125,0.225,0.19296875
node_interval,1.6416872999980114,4352,2143,4485,0.03203125,0.225,0.19296875
node_interval,1.7460850999923423,4608,2250,4825,0.03203125,0.225,0.19296875
node_interval,1.8560230000293814,4864,2338,5241,0.03203125,0.225,0.19296875
node_interval,1.9636298000114039,5120,2458,5529,0.03203125,0.225,0.19296875
node_interval,2.0676917000091635,5376,2554,5913,0.03203125,0.225,0.19296875
node_interval,2.188226099999156,5632,2656,6273,0.03203125,0.225,0.19296875
node_interval,2.2992339999764226,5888,2765,6605,0.03203125,0.225,0.19296875
node_interval,2.415997200005222,6144,2850,7033,0.03203125,0.225,0.19296875
node_interval,2.535132799996063,6400,2967,7333,0.03619791666666667,0.225,0.18880208333333334
node_interval,2.6401540000224486,6656,3179,7253,0.03828125,0.225,0.18671875
node_interval,2.7485479000024498,6912,3381,7213,0.03828125,0.225,0.18671875
node_interval,2.855284399993252,7168,3570,7225,0.03828125,0.225,0.18671875
node_interval,2.9731431999825872,7424,3751,7269,0.03828125,0.225,0.18671875
node_interval,3.10736409999663,7680,3927,7333,0.03828125,0.225,0.18671875
node_interval,3.2108464000048116,7936,4097,7421,0.03828125,0.225,0.18671875
node_interval,3.3185705000068992,8192,4279,7461,0.03828125,0.225,0.18671875
node_interval,3.4312944000121206,8448,4450,7545,0.03828125,0.225,0.18671875
node_interval,3.541852199996356,8704,4608,7681,0.03828125,0.225,0.18671875
node_interval,3.654638200008776,8960,4751,7877,0.03828125,0.225,0.18671875
node_interval,3.818366800027434,9216,4901,8045,0.03828125,0.225,0.18671875
node_interval,3.9353646999807097,9472,5103,7957,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.0643233000300825,9728,5313,7774,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.203090400027577,9984,5483,7653,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.330249199992977,10240,5668,7507,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.452899200026877,10496,5830,7399,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.581834100012202,10752,6024,7267,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.697549100033939,11008,6207,7133,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.833769500022754,11264,6365,7025,0.040364583333333336,0.225,0.18463541666666666
node_interval,4.949287299998105,11520,6499,6951,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.085215899976902,11776,6642,6895,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.188823500007857,12032,6819,6773,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.29029969999101,12288,6981,6662,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.392284800007474,12544,7115,6589,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.511566500004847,12800,7257,6529,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.622493000002578,13056,7432,6411,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.736325400008354,13312,7617,6270,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.841620800027158,13568,7762,6181,0.040364583333333336,0.225,0.18463541666666666
node_interval,5.956765100010671,13824,7906,6095,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.077799100021366,14080,8071,6021,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.208173400023952,14336,8254,5877,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.3324687000131235,14592,8409,5778,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.4687764000264,14848,8534,5715,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.612206400022842,15104,8684,5659,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.72634900000412,15360,8809,5595,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.831206300004851,15616,8936,5543,0.040364583333333336,0.225,0.18463541666666666
node_interval,6.933901700016577,15872,9040,5515,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.0681190000032075,16128,9182,5431,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.192925299983472,16384,9293,5401,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.30798360001063,16640,9471,5277,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.43278770003235,16896,9632,5165,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.562906900013331,17152,9766,5092,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.668360500014387,17408,9909,5033,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.783310500031803,17664,10041,4973,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.889078599982895,17920,10159,4931,0.040364583333333336,0.225,0.18463541666666666
node_interval,7.992478900006972,18176,10270,4879,0.040364583333333336,0.225,0.18463541666666666
node_interval,8.09432019997621,18432,10405,4823,0.040364583333333336,0.225,0.18463541666666666
node_interval,8.20578660001047,18688,10524,4763,0.040364583333333336,0.225,0.18463541666666666
node_interval,8.311885799979791,18944,10681,4705,0.040364583333333336,0.225,0.18463541666666666
