event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005215000128373504,0,0,1,0.0,0.2765625,0.2765625
incumbent_update,0.009346500039100647,30,9,55,0.012239583333333333,0.26067708333333334,0.2484375
incumbent_update,0.012881400005426258,40,12,73,0.012239583333333333,0.2513020833333333,0.2390625
incumbent_update,0.01515679998556152,49,15,88,0.012239583333333333,0.24427083333333333,0.23203125
node_interval,0.07991110003786162,256,124,273,0.021354166666666667,0.24427083333333333,0.22291666666666668
node_interval,0.1573598000104539,512,307,309,0.0296875,0.24427083333333333,0.21458333333333332
node_interval,0.23909350001486018,768,488,353,0.03046875,0.24427083333333333,0.21380208333333334
node_interval,0.319308300036937,1024,725,173,0.03802083333333333,0.24427083333333333,0.20625
node_interval,0.4058923000120558,1280,939,85,0.04635416666666667,0.24427083333333333,0.19791666666666666
proof_complete,0.4390265000401996,1365,1024,0,0.24427083333333333,0.24427083333333333,0.0
