event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006235999753698707,0,0,1,0.0,0.3609375,0.3609375
incumbent_update,0.0029264999902807176,10,2,23,0.009895833333333333,0.35911458333333335,0.34921875
incumbent_update,0.003695799969136715,13,3,28,0.009895833333333333,0.35208333333333336,0.3421875
incumbent_update,0.0074628000147640705,27,11,38,0.011458333333333333,0.33958333333333335,0.328125
incumbent_update,0.013010599999688566,46,16,75,0.013020833333333334,0.3216145833333333,0.30859375
incumbent_update,0.021048699971288443,83,26,146,0.015364583333333333,0.2981770833333333,0.2828125
node_interval,0.09297870000591502,256,126,265,0.021354166666666667,0.2981770833333333,0.27682291666666664
incumbent_update,0.19311110000126064,502,226,603,0.022916666666666665,0.29713541666666665,0.27421875
incumbent_update,0.19582429999718443,511,233,602,0.022916666666666665,0.27838541666666666,0.25546875
node_interval,0.19612899998901412,512,234,601,0.022916666666666665,0.27838541666666666,0.25546875
incumbent_update,0.20709290000377223,545,255,616,0.026041666666666668,0.2721354166666667,0.24609375
incumbent_update,0.2277796000125818,601,284,668,0.028125,0.26901041666666664,0.24088541666666666
node_interval,0.2910574999987148,768,424,609,0.0296875,0.26901041666666664,0.23932291666666666
node_interval,0.3960433999891393,1024,582,745,0.03046875,0.26901041666666664,0.23854166666666668
node_interval,0.48846490000141785,1280,737,893,0.03046875,0.26901041666666664,0.23854166666666668
node_interval,0.5956155000021681,1536,873,1117,0.03046875,0.26901041666666664,0.23854166666666668
node_interval,0.6942540999734774,1792,1033,1245,0.03125,0.26901041666666664,0.23776041666666667
node_interval,0.798249899991788,2048,1220,1265,0.036458333333333336,0.26901041666666664,0.23255208333333333
node_interval,0.918255299970042,2304,1446,1129,0.03802083333333333,0.26901041666666664,0.23098958333333333
node_interval,1.0406227000057697,2560,1668,1009,0.038802083333333334,0.26901041666666664,0.23020833333333332
node_interval,1.155249500006903,2816,1840,1089,0.038802083333333334,0.26901041666666664,0.23020833333333332
node_interval,1.2665956999990158,3072,2038,1065,0.038802083333333334,0.26901041666666664,0.23020833333333332
node_interval,1.379975399991963,3328,2204,1169,0.038802083333333334,0.26901041666666664,0.23020833333333332
node_interval,1.4922876000055112,3584,2392,1185,0.038802083333333334,0.26901041666666664,0.23020833333333332
node_interval,1.6045137000037357,3840,2603,1109,0.040364583333333336,0.26901041666666664,0.22864583333333333
node_interval,1.7060545000131242,4096,2843,917,0.047135416666666666,0.26901041666666664,0.221875
node_interval,1.8117159000248648,4352,3071,773,0.047135416666666666,0.26901041666666664,0.221875
node_interval,1.920364600024186,4608,3301,621,0.047135416666666666,0.26901041666666664,0.221875
node_interval,2.0279496000148356,4864,3520,513,0.047135416666666666,0.26901041666666664,0.221875
node_interval,2.147257599979639,5120,3755,341,0.04791666666666667,0.26901041666666664,0.22109375
node_interval,2.268357500026468,5376,4011,85,0.05546875,0.26901041666666664,0.21354166666666666
proof_complete,2.304406300012488,5461,4096,0,0.26901041666666664,0.26901041666666664,0.0
