event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0005569999921135604,0,0,1,0.0,0.26015625,0.26015625
incumbent_update,0.006008299998939037,23,8,38,0.011458333333333333,0.25442708333333336,0.24296875
incumbent_update,0.05517389997839928,168,94,129,0.020572916666666666,0.25026041666666665,0.2296875
incumbent_update,0.05544450000161305,169,95,128,0.020572916666666666,0.23385416666666667,0.21328125
node_interval,0.08156449999660254,256,139,213,0.020572916666666666,0.23385416666666667,0.21328125
node_interval,0.16073609999148175,512,330,217,0.02890625,0.23385416666666667,0.20494791666666667
node_interval,0.24018189997877926,768,502,297,0.02890625,0.23385416666666667,0.20494791666666667
node_interval,0.3249560000258498,1024,716,209,0.03723958333333333,0.23385416666666667,0.19661458333333334
node_interval,0.4173305000294931,1280,939,85,0.03802083333333333,0.23385416666666667,0.19583333333333333
proof_complete,0.44749819999560714,1365,1024,0,0.23385416666666667,0.23385416666666667,0.0
