event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0010328000062145293,0,0,1,0.0,0.2296875,0.2296875
node_interval,0.0765224999631755,256,102,361,0.023697916666666666,0.2296875,0.20598958333333334
node_interval,0.16286320000654086,512,209,701,0.023697916666666666,0.2296875,0.20598958333333334
node_interval,0.24512109998613596,768,291,1141,0.023697916666666666,0.2296875,0.20598958333333334
node_interval,0.3345411999616772,1024,441,1309,0.029947916666666668,0.2296875,0.19973958333333333
node_interval,0.43340209999587387,1280,576,1537,0.03203125,0.2296875,0.19765625
node_interval,0.5383214000030421,1536,755,1589,0.03203125,0.2296875,0.19765625
node_interval,0.6373941999627277,1792,912,1729,0.03203125,0.2296875,0.19765625
node_interval,0.7471652999520302,2048,1040,1985,0.03203125,0.2296875,0.19765625
node_interval,0.8419368999893777,2304,1181,2189,0.03203125,0.2296875,0.19765625
node_interval,0.9416735999984667,2560,1309,2445,0.03203125,0.2296875,0.19765625
node_interval,1.058027699997183,2816,1434,2713,0.03203125,0.2296875,0.19765625
node_interval,1.153127699973993,3072,1551,3013,0.03203125,0.2296875,0.19765625
node_interval,1.2676124999998137,3328,1655,3365,0.03203125,0.2296875,0.19765625
node_interval,1.3713741999818012,3584,1848,3361,0.03828125,0.2296875,0.19140625
node_interval,1.4736243999795988,3840,2037,3373,0.03828125,0.2296875,0.19140625
node_interval,1.5756667999667116,4096,2233,3357,0.03828125,0.2296875,0.19140625
node_interval,1.6754980999976397,4352,2391,3493,0.03828125,0.2296875,0.19140625
node_interval,1.7774481999804266,4608,2551,3621,0.03828125,0.2296875,0.19140625
node_interval,1.8818972999579273,4864,2710,3753,0.03828125,0.2296875,0.19140625
node_interval,1.9930013999692164,5120,2862,3913,0.03828125,0.2296875,0.19140625
node_interval,2.098493799974676,5376,3088,3777,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.2322559999884106,5632,3298,3705,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.3480660999775864,5888,3481,3741,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.4582452999893576,6144,3653,3821,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.5617306999629363,6400,3843,3829,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.6732483999803662,6656,4020,3889,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.7811411999864504,6912,4202,3929,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,2.8884199999738485,7168,4352,4097,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.001619999995455,7424,4518,4201,0.040364583333333336,0.2296875,0.18932291666666667
node_interval,3.108100099954754,7680,4689,4285,0.040364583333333336,0.2296875,0.18932291666666667
