event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006308999727480114,0,0,1,0.0,0.3421875,0.3421875
incumbent_update,0.007368199992924929,25,5,56,0.009895833333333333,0.3380208333333333,0.328125
incumbent_update,0.011213299992959946,41,8,92,0.010677083333333334,0.32864583333333336,0.31796875
incumbent_update,0.017759000009391457,61,12,136,0.011458333333333333,0.32473958333333336,0.31328125
incumbent_update,0.020894100016448647,73,16,156,0.011458333333333333,0.3184895833333333,0.30703125
incumbent_update,0.02384949999395758,83,19,174,0.011458333333333333,0.29739583333333336,0.2859375
incumbent_update,0.028868499968666583,96,23,197,0.012239583333333333,0.29348958333333336,0.28125
incumbent_update,0.03032999997958541,99,24,202,0.013020833333333334,0.2911458333333333,0.278125
node_interval,0.08269949996611103,256,70,489,0.019791666666666666,0.2911458333333333,0.2713541666666667
incumbent_update,0.15727630001492798,471,193,642,0.021354166666666667,0.28854166666666664,0.2671875
incumbent_update,0.15774080000119284,472,194,641,0.021354166666666667,0.28854166666666664,0.2671875
node_interval,0.17390950000844896,512,222,649,0.022135416666666668,0.28854166666666664,0.26640625
incumbent_update,0.17521039996063337,516,225,649,0.022135416666666668,0.2799479166666667,0.2578125
incumbent_update,0.21935460000531748,652,303,745,0.022135416666666668,0.27291666666666664,0.25078125
incumbent_update,0.24370349996024743,729,358,756,0.02734375,0.26666666666666666,0.23932291666666666
node_interval,0.25875759997870773,768,367,837,0.02734375,0.26666666666666666,0.23932291666666666
node_interval,0.35024980001617223,1024,449,1277,0.028125,0.26666666666666666,0.23854166666666668
node_interval,0.4542360999621451,1280,681,1117,0.0296875,0.26666666666666666,0.23697916666666666
node_interval,0.5499985999776982,1536,889,1053,0.03046875,0.26666666666666666,0.23619791666666667
node_interval,0.6435295999981463,1792,1051,1173,0.03046875,0.26666666666666666,0.23619791666666667
node_interval,0.7387224999838509,2048,1230,1225,0.03046875,0.26666666666666666,0.23619791666666667
node_interval,0.8429316999972798,2304,1427,1205,0.036458333333333336,0.26666666666666666,0.23020833333333332
node_interval,0.9479479999863543,2560,1591,1317,0.03802083333333333,0.26666666666666666,0.22864583333333333
node_interval,1.0474583000177518,2816,1843,1077,0.038802083333333334,0.26666666666666666,0.22786458333333334
node_interval,1.152234999986831,3072,2059,981,0.038802083333333334,0.26666666666666666,0.22786458333333334
node_interval,1.253529299981892,3328,2246,1001,0.038802083333333334,0.26666666666666666,0.22786458333333334
node_interval,1.355835099995602,3584,2444,977,0.038802083333333334,0.26666666666666666,0.22786458333333334
node_interval,1.4814519999781623,3840,2633,989,0.038802083333333334,0.26666666666666666,0.22786458333333334
node_interval,1.5910283999983221,4096,2840,929,0.038802083333333334,0.26666666666666666,0.22786458333333334
node_interval,1.6991908999625593,4352,3091,693,0.047135416666666666,0.26666666666666666,0.21953125
node_interval,1.8229026999906637,4608,3324,529,0.047135416666666666,0.26666666666666666,0.21953125
node_interval,1.9475933999638073,4864,3549,397,0.047135416666666666,0.26666666666666666,0.21953125
node_interval,2.074321999971289,5120,3769,285,0.047135416666666666,0.26666666666666666,0.21953125
node_interval,2.1935138999833725,5376,4011,85,0.05546875,0.26666666666666666,0.21119791666666668
proof_complete,2.2510745999752544,5461,4096,0,0.26666666666666666,0.26666666666666666,0.0
