event,elapsed_sec,explored_nodes,evaluated_leaves,frontier_nodes,lower_bound,upper_bound,gap
initial_incumbent,0.0006865999894216657,0,0,1,0.0,0.1921875,0.1921875
node_interval,0.07388899999205023,256,120,289,0.023697916666666666,0.1921875,0.16848958333333333
node_interval,0.1673564999946393,512,244,561,0.03203125,0.1921875,0.16015625
node_interval,0.268178700003773,768,430,585,0.03203125,0.1921875,0.16015625
node_interval,0.36428509996039793,1024,580,753,0.03203125,0.1921875,0.16015625
node_interval,0.4801543999928981,1280,716,977,0.03203125,0.1921875,0.16015625
node_interval,0.5983286999980919,1536,851,1205,0.03203125,0.1921875,0.16015625
node_interval,0.6932099999976344,1792,1064,1121,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,0.7964139999821782,2048,1285,1005,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,0.8951671000104398,2304,1487,965,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,0.9991875999839976,2560,1650,1081,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,1.1053029999602586,2816,1829,1133,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,1.2069092000019737,3072,2010,1177,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,1.311479199968744,3328,2185,1245,0.040364583333333336,0.1921875,0.15182291666666667
node_interval,1.4122895000036806,3584,2411,1109,0.046614583333333334,0.1921875,0.14557291666666666
node_interval,1.5507744000060484,3840,2640,961,0.04869791666666667,0.1921875,0.14348958333333334
node_interval,1.6712617999874055,4096,2872,801,0.04869791666666667,0.1921875,0.14348958333333334
node_interval,1.7962873000069521,4352,3080,737,0.04869791666666667,0.1921875,0.14348958333333334
node_interval,1.9049481999827549,4608,3304,609,0.04869791666666667,0.1921875,0.14348958333333334
node_interval,2.01469789998373,4864,3518,521,0.04869791666666667,0.1921875,0.14348958333333334
node_interval,2.1283215999719687,5120,3755,341,0.05703125,0.1921875,0.13515625
node_interval,2.2428926000138745,5376,4011,85,0.05703125,0.1921875,0.13515625
proof_complete,2.2819041999755427,5461,4096,0,0.1921875,0.1921875,0.0
