instance_id,family,n_aux,n_qubits,compiled_2q_gates_by_seed_json,compiled_2q_gates_per_layer,budget_keys_json,config_hash,code_commit
inst_501f35a009a21e9de0aa7d7e1152c81055124638309d34e6deea1da6e535c2cd,cubic_spin_glass,2,12,"[153,156,154,154,146]",154,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_e0163519284b54b5ea0e26c30d2408f3a25eb7580d9ac53d9b4943d02c2b0176,cubic_spin_glass,5,11,"[162,151,164,161,174]",162,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d796bb2832a607ab9991e780ba6ba381959a114de52b1fc6e98f6f0c5ae5ed90,cubic_spin_glass,4,12,"[227,231,246,234,232]",232,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_8024dbda0f7de5189254ad4ee6feb8e22263710e6c27cea27e3a1f561e3dbd08,cubic_spin_glass,4,10,"[158,155,154,144,161]",155,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_6b00aee9203529edaca1fc5300e52279f8da9b67def8ab94e986d728ce8d9340,cubic_spin_glass,4,10,"[160,165,158,160,157]",160,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_3141412d947d22c843612dbff6441869a4d5ca25f958eaa4f28e48162ee11b82,cubic_spin_glass,4,10,"[143,149,142,142,134]",142,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_616468a632899d8b508be320cd7145d18205825cf6b865b159f24a2b19562761,cubic_spin_glass,3,9,"[136,147,130,129,139]",136,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_fb350fa93d05cfd38db8aaef33b2ff0edf017843a78a0e77f092cdb6f0698dd6,cubic_spin_glass,4,12,"[252,258,251,248,251]",251,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_cff8c30e2d12596a19257084e321bb4e69e780eb53a95b806d8f137418ab50d2,cubic_spin_glass,3,9,"[147,146,144,144,152]",146,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
inst_d4a54dd8f66e823e4d6115b31c2e296559fd6c96909c930e313836d3ceddc069,cubic_spin_glass,3,9,"[144,138,146,143,134]",143,"[""equal_layer_p1"",""equal_layer_p2""]",dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,5bdec984a409335ca07aa5bec867f3c5fee9cf14
