instance_id,family,n_original,active_auxiliary_count,median_abs_single_margin,mean_active_pair_dependence,relaxation_objective,moment_sha256,screening_source,config_hash
inst_ed81bcfc0b6040fa3ce4f38e4ad431c240ce832b58240a81465143719efeb894,cubic_spin_glass,8,1,4.166664235860651e-11,0.19999999995833334,-21.999999999000003,6eb67674498746e06176fdf319dc90062bae55a87057c4326865b60d42821982,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_cc05904b594fb5723c65bab4677b656e6ebd45962317ee90d24ec612c931b938,cubic_spin_glass,10,1,0.0,0.2,-17.999999999,fbae6ba009db273808dc7dc5bdeb5b9ec8de012854a1bb70d350f409c510a863,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_65c94330c77e76f2eeadaafbcae50158578177cacbc023de6324f8be94f90683,cubic_spin_glass,10,2,0.0,0.19999999998611126,-33.99999999900001,4e5c33b7a97e723105c4d89d0989879fed82007623b79176216564fa464cdf85,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_4bfa6b15b30c76327e00961dd21e2c10a8cd2c2c05a0c2baf6eb4b5ce04e73fc,cubic_spin_glass,6,3,0.0,0.25,-43.99999999900001,72f9c203ad2731a4479c967b0d59bdf598b51a9782282bfb622e4989650ac87a,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_1ff555fad7542e803ef745c050702413326b6b6b3e2a83b09b8a3bf5c76deb64,cubic_spin_glass,8,3,0.0,0.25,-63.99999999900001,c257fec1700ae7499df8e1aaed4549e7d8ed8d800f08e20dd515599751816b95,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f01148b06d6ba5ace434344382e0141893f767b496cc1d90321a7e68e1e202ae,cubic_spin_glass,10,2,0.0,0.24999999997499991,-71.999999999,a8b484d429d2a9e9766da4080d5db567b53c32c4d74d4e5aa7f64ed6379f1153,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_21f6dd4007a3b70e3bcb8497dc415a6f3a6c9a1fc19fa8bf59e6f5be5bae3ebc,cubic_spin_glass,6,3,0.0,0.2499999999861112,-35.999999999,557468f37e5bc63d81e451c6fbecca68c6176fbcfcfa74af509f81d5a961c116,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_9c2f0b836c96dd939f6cbcbc7ac55c76f57cdd498435718d03cedb0d94211a12,cubic_spin_glass,8,2,0.0,0.25,-59.999999999,71072ca4832a291708a02ff4ed82d7e4418d26ef40596b5089f9aedf14495bf9,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_1c4c9cb320aeacdb36e3675fdf9820abf501cbffdae8899833a573ce665c6cf9,cubic_spin_glass,10,2,0.0,0.24999999994999983,-79.99999999899998,dfe00090cbd8ead6a144205eb84c30b4390a2e664d574983dd92bde98c39b8e0,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_57cc74af9f9feca2972d254cf566cf8c4d5095966a61c394eacff122136a9261,cubic_spin_glass,10,2,0.0,0.25,-44.999999999,34a8bb095c3b69adee284c3ee5d04c59a0550386c90f3c72cd363cd0dba8d81e,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_3635334af88a8399fe19e90e420de880af01a5a8d8569043155d7fae1dc0fd71,cubic_spin_glass,6,3,2.2727153492496655e-11,0.24999999998484854,-43.999999998999996,e5faff43dc0ea3d351a6bb96539834f57dd70f2a116a41f077b699f7c9bec27a,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_0a9ce834f625b5e25a9eab157d5ff0566a7133854764126b6702c59da302fcd9,cubic_spin_glass,8,4,2.4999891046206812e-11,0.24999999998125008,-55.99999999900001,d815927f15d64cde81ce7af52b8885da82f1ac9f0678b95d7d53ad681822776e,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_63f7076021445259bea270150d7e1795fc308a206cf9a9de63d5f8e1bd5ce49e,cubic_spin_glass,10,2,0.0,0.25,-79.99999999900001,26a4f02a8990becb58a162a2fb2c16db270fa493c414436e4d8da8d87110d255,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f505f5b188d1587137a734ecc05fa42a74138921c0b43d82adb88eee36850b9b,cubic_spin_glass,6,3,0.0,0.24999999997222233,-39.999999999,9fdf5d4dca5719035e206043afabeeee5a9d958bb623794c094e825449e9e998,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_b4ef8ba37dca133028588da2f668e065276e7a4f37229c89fa9a85a4a04fad81,cubic_spin_glass,8,4,0.0,0.24999999997321437,-51.999999998999996,60343ac7248edf9cc54b2e53293023f64a9109c1afece6ba4837b9f0fbd32695,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_4374fdc56e1c037585e0afadbe09e12a045dda5fa8eac6a6e140b3f13dabdcd7,cubic_spin_glass,10,2,0.0,0.25,-103.999999999,b7bca369f97be71ea9a68e7b3f99417228ff44cb863724fcb7dbf546e6d91dfb,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_d7e2c5bd0e77d2e75416d73dabf5f664f7eb600538e8be894ba245d8c3a5265f,cubic_spin_glass,10,2,0.0,0.24999999987500043,-43.999999999,75b9d48a17adc43b48a07886dc465ea384b6232343595ae0bbc640e153b4f134,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_1522055d90e1a9e494b11128595fbe26f577baa32161dd2aa3abf20851f5b903,cubic_spin_glass,10,2,0.0,0.24999999995833347,-47.999999998999996,55b84b7222fa43fafcc5a8884dd61f0dd40059433c1272e5124670b47d26e700,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_790c29543e2d1e447fdf86a5079167befa208930a5f3a80c9dc1cb5b4e2a15b2,cubic_spin_glass,6,3,0.0,0.24999999998437505,-43.99999999900001,53084037bcc14973b6a391e982dda5686167714b3e19fe81163589fc49db5f79,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_f4f97605dea5493a4d00648c1a30e38514855bbf7ede792d53bef3cc9335a590,cubic_spin_glass,8,4,0.0,0.2499999999687501,-55.99999999900001,976699ee95c0ff46d79e59fa89e2c66e90b5b59bd79696d1dc0aa05a58e8a646,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_07c653e3516fc4a8a6a3bf2bffc2e241f8814c9af9df518eb8b347dbc9e79fc2,cubic_spin_glass,10,2,0.0,0.24999999998214278,-79.99999999900002,92f5a6ba5bb0f7b4ffbfb89354d026c5e8c5ef7a4c3b14af4e1545eab45e894c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_a2b33bf1c4a5dfc850fb28f3609fb91b0d5fd2706afa54f248a36a290fb3934e,cubic_spin_glass,10,2,0.0,0.25,-48.999999999,56b4e47e6efd10a6c19083b16dec924cc49220e1272cb8f1d1ffbc6bfeab106c,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_6d832fc6856b5db9af378f6ade041c9eb9f5f8a175ac2d6d0b91bfc972f9ffe6,cubic_spin_glass,10,2,0.0,0.08333333300000823,-30.999999999000025,0a8232a237008e9cccbd68be3c1c8328ded598a7f5068e10625a5c5782e8262b,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_b2813cac12954bd1c58aa9fcb09a0d58e633a1a37a85f447f2fcd599fe5dede9,cubic_spin_glass,6,3,0.0,0.24999999997916675,-39.999999999,d62eaf4479aed17803a9da074fbe8167418c44bd089a3d95267ddacb4af82e35,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
inst_5ae5eb682265cedfed2333fed3b9fbb215b91811da3f618b32ad1729e1c564e2,cubic_spin_glass,8,4,2.0833390568242294e-11,0.25,-75.999999999,b612ebe2ef4df5f2e7ea62e04a93c2797891dfc3fd626db99a5430a66c70f5e9,relaxation_signal_only,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632
