family,representation,budget_mode,budget_key,budget_value,budget_label,warm_start_policy,pair_closure,instance_count,design_count,run_count,ci_unit,ci_method,original_objective_mean,original_objective_ci95_low,original_objective_ci95_high,paired_difference_vs_cold_mean,paired_difference_vs_cold_ci95_low,paired_difference_vs_cold_ci95_high,optimum_hit_rate_mean,optimum_hit_rate_ci95_low,optimum_hit_rate_ci95_high,encoded_energy_mean,auxiliary_inconsistency_rate_mean,mean_abs_original_margin,weak_signal_instance_count,status,config_hash,manifest_hash,code_commit
cubic_spin_glass,selective,equal_layer,equal_layer_p1,1,p=1,cold_start,not_applicable,10,10,30,instance,instance_cluster_normal_95,-1.1112008179807467,-1.5342887402654104,-0.688112895696083,0.0,0.0,0.0,0.035464344570121306,0.015583577346817604,0.05534511179342501,41.1261332967713,0.9135324566123902,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p1,1,p=1,original_and_auxiliary_variables,independence_mu_product_ablation,10,10,30,instance,instance_cluster_normal_95,-1.156639806244427,-1.5612307385517474,-0.7520488739371064,-0.045438988263680355,-0.33671561465049343,0.2458376381231327,0.04697764763190555,0.011242352209401264,0.08271294305440985,31.638841036688593,0.8471976167504419,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p1,1,p=1,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,10,10,30,instance,instance_cluster_normal_95,-0.9902747237615268,-1.3548593965135494,-0.6256900510095044,0.12092609421921989,-0.22458069637356248,0.4664328848120023,0.0420790290524166,0.01326426082701326,0.07089379727781994,37.32028609914475,0.8834678981427704,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p1,1,p=1,original_variables_only,auxiliary_cold_half,10,10,30,instance,instance_cluster_normal_95,-0.992699606259167,-1.3256657423652471,-0.6597334701530868,0.11850121172157975,-0.14325304342238976,0.38025546686554923,0.04385228838500665,0.013859011690210494,0.0738455650798028,38.00465205669936,0.9008367175203398,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p2,2,p=2,cold_start,not_applicable,10,10,30,instance,instance_cluster_normal_95,-1.1867393677781846,-1.692469606076155,-0.681009129480214,0.0,0.0,0.0,0.04531537264508341,0.01842785093962458,0.07220289435054224,39.917788574198475,0.9086750966430397,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p2,2,p=2,original_and_auxiliary_variables,independence_mu_product_ablation,10,10,30,instance,instance_cluster_normal_95,-1.1399367345265612,-1.588246323458598,-0.6916271455945244,0.046802633251623545,-0.38097479910544524,0.4745800656086923,0.03970442584338989,0.01361212343288368,0.0657967282538961,36.69245998471731,0.8618361996885658,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p2,2,p=2,original_and_auxiliary_variables,sa_rlt_level_2_pair_moments,10,10,30,instance,instance_cluster_normal_95,-1.1240342955229765,-1.4728695570739199,-0.7751990339720332,0.06270507225520813,-0.3244849994553074,0.4498951439657236,0.043520954728747466,0.01924694630581969,0.06779496315167524,37.240091513550574,0.868570317411716,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
cubic_spin_glass,selective,equal_layer,equal_layer_p2,2,p=2,original_variables_only,auxiliary_cold_half,10,10,30,instance,instance_cluster_normal_95,-1.0404299500299277,-1.4019244299397031,-0.6789354701201522,0.14630941774825704,-0.2594307604310456,0.5520495959275596,0.03539608013744525,0.012799040445048107,0.0579931198298424,37.728592089309885,0.8794759760622117,0.116666666666732,3,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,selective,equal_layer,equal_layer_p1,1,p=1,cold_start,not_applicable,10,10,30,instance,instance_cluster_normal_95,11.008174595549555,8.979293315841,13.03705587525811,0.0,0.0,0.0,0.03854765930696976,0.017870595787906316,0.05922472282603321,26.10283817212712,0.7397874947375669,0.4141666666041666,0,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
max3sat,selective,equal_layer,equal_layer_p1,1,p=1,original_and_auxiliary_variables,independence_mu_product_ablation,10,10,30,instance,instance_cluster_normal_95,4.061360365842556,2.6109817801012505,5.511738951583862,-6.946814229706999,-9.095703832692738,-4.79792462672126,0.6173084968498574,0.4390492876047365,0.7955677060949784,7.923600482773322,0.30666276110983215,0.4141666666041666,0,pass,dcae3585519be308040729bc8a4548c06f46493af50e454b389165349380c632,e17a4947bfae917f7a3482e3876c60a44b8dd1833d59508413d06fd3e92cedbd,5bdec984a409335ca07aa5bec867f3c5fee9cf14
