instance_id,family,split,representation,random_rep_seed,design_id,n_original,n_aux,n_qubits,retained_cubic,quadratic_couplings,M_max,coefficient_dynamic_range,active_pair_count,selector_status,selector_objective,selector_compiler_calls,config_hash,manifest_hash,code_commit
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,all_native,,design_cfaaad5c4fc6b24daec2,12,0,12,68,45,0.0,217.0,0,endpoint_not_searched,1.45703125,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,fully_quadratized,,design_b8589137b14e8bb92776,12,22,34,0,164,12.0,608.0,22,deterministic_minimum_pair_cover,1.7864583333333333,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,selective,,design_dca501a2361e83db6d84,12,2,14,58,59,12.0,356.0,2,pareto_beam_incumbent_compilation_scope,1.4114583333333333,12544,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,matched_random_selective,2026082711,design_a9c5baac04cda64583f0,12,2,14,64,53,12.0,289.0,2,matched_on_auxiliary_count,1.5703125,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,matched_random_selective,2026082712,design_f4a1249ac1f8d4ef321f,12,2,14,64,54,9.0,291.0,2,matched_on_auxiliary_count,1.5638020833333333,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,matched_random_selective,2026082713,design_3a33a5b9caefeea33073,12,2,14,64,54,8.0,282.0,2,matched_on_auxiliary_count,1.5403645833333333,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,matched_random_selective,2026082714,design_a6f21157ba3039080735,12,2,14,63,55,7.0,295.0,2,matched_on_auxiliary_count,1.4934895833333333,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0252ede428af7d5ba638c993716885266bdf345dcd87961e7c927bacd016606c,max3sat,train,matched_random_selective,2026082715,design_0756efa51b7f1d9d2508,12,2,14,63,54,8.0,301.0,2,matched_on_auxiliary_count,1.515625,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,cubic_spin_glass,validation,all_native,,design_633d3f1691ba8dd28a0f,20,0,20,80,110,0.0,1.0,0,endpoint_not_searched,1.2864583333333333,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
inst_0366081022d366132ff6b1386c720f91dd3afb46164783328f155336aede2b17,cubic_spin_glass,validation,fully_quadratized,,design_e4e966e266b3a97a468e,20,36,56,0,273,33.0,363.0,36,deterministic_minimum_pair_cover,2.9401041666666665,0,c1fe6ddb0aa5e0bd75dbc46707e2824bbe199bac82b2d766160294ce56353d99,9626c07cf4ccf3251a3585a4b367551c7a78f57218970c0d71f73f221adea5d3,351ff6c8d50284fe82f06169bd7020280735c337
